# fen	move_played	grade	source
W:W22,26,28,29,32,33,34,35,36,38,39,40,41,42,43,45,46,48:B2,3,4,6,7,8,9,11,12,13,14,15,17,19,20,21,24,25	41-37	?	deel36:p134
B:W22,26,28,29,32,33,34,35,36,37,38,39,40,42,43,45,46,48:B2,3,4,6,7,8,9,11,12,13,14,15,17,19,20,21,24,25	4-10	!	deel36:p134
B:W27,31,32,34,35,36,37,38,40,41,42,43,45,46,48,50:B2,3,4,5,6,8,11,12,13,15,16,18,20,23,26,29	29-33	!	deel36:p155
B:W25,26,29,30,31,34,35,36,42:B3,10,13,16,17,19,22,27,28	10-14	?	deel36:p155
W:W25,26,29,30,31,34,35,36,42:B3,13,14,16,17,19,22,27,28	29-24	?	deel36:p155
B:W25,26,29,33,36,38,39,42,43,45,47,48,49:B2,3,6,7,9,11,14,15,17,18,22,24,27	14-20	?	deel42:p18
B:W25,26,29,30,31,34,35,36,39,45,48,49:B3,5,8,9,10,11,14,15,17,18,22,28	28-32	!	deel42:p20
B:W23,26,27,28,29,32,33,34,35,36,38,39,40,42,43,45,48,49:B1,2,3,4,6,8,12,13,14,15,16,17,18,19,20,21,24,25	17-22	?	deel42:p24
W:W23,26,27,28,29,32,33,34,35,36,38,39,40,42,43,45,48,49:B1,2,3,4,6,8,12,13,14,15,16,18,19,20,21,22,24,25	26x17	?	deel42:p24
B:W25,27,28,31,32,33,35,37,38,39,40,41,43,44,45,47,48,49,50:B1,2,3,4,6,8,9,11,12,13,14,15,16,18,19,20,23,24,26	11-17	!	deel42:p29
B:W25,27,28,31,32,33,35,36,37,38,39,40,43,44,45,47,48,49,50:B1,2,3,4,6,8,9,12,13,14,15,16,17,18,19,20,23,24,26	17-22	!	deel42:p29
W:W25,27,31,32,33,34,35,36,37,39,43,44,47:B8,12,13,14,15,16,18,19,21,22,23,26,28	47-41	?	deel42:p35
B:W25,27,30,31,32,34,35,37,38,39,40,41,42,45,47,49:B3,4,6,8,9,13,14,15,16,17,18,19,21,23,28,29	28-33	?	deel42:p55
W:W23,28,29,33,37,39,40,42,44,47:B7,8,12,13,14,15,19,21,25,35	42-38	?	deel42:p55
B:WK11,25,34,41:B4,13,19,24,32	32-38	?	deel42:p66
W:WK11,25,34,37:B4,13,23,24,38	11-2	?	deel42:p66
B:W25,27,28,29,30,32,33,35,38,43,46,49:B5,6,8,10,11,12,14,16,18,19,20,24	19-23	?	deel1:p244
B:W25,27,28,29,30,32,33,35,39,42,44,47:B2,5,10,14,16,17,18,19,20,21,24,26	17-22	!	deel1:p244
W:W27,28,31,32,34,37,38,39,41,44,46:B6,13,15,16,17,18,19,21,24,25,26	28-22	?	deel1:p244
B:W14,31,33,34,36,37,39,46:B11,13,15,22,25,26,27,30	11-17	!	deel1:p245
B:W14,29,31,33,36,37,39,46:B13,15,17,22,25,26,27,30	17-21	!	deel1:p245
W:W24,27,31,32,34,37,41,46:B9,16,18,21,22,23,25,26	32-28	!	deel1:p245
B:W24,27,28,31,34,37,41,46:B9,16,18,21,22,23,25,26	23x32	?	deel1:p245
B:W13,27,31,32,37,41,46:B9,16,18,21,22,25,26,40	22-28	!	deel1:p245
W:W25,26,30,32,33,35,37,38,39,40,44,45:B3,5,8,10,12,14,18,19,20,23,24,29	37-31	?	deel1:p246
W:W25,26,30,32,33,35,37,38,39,40,44,45:B3,5,8,10,12,14,18,19,20,23,24,29	26-21	?	deel1:p246
W:W16,25,28,30,32,33,35,36,39,45,48:B5,7,8,10,14,19,20,23,24,26	48-42	!	deel1:p246
W:W25,27,30,33,34,35,38,42:B5,7,10,14,19,20,23,24	33-29	?	deel1:p247
W:W18,20,31,32,37,41,46:B8,9,16,21,26,34,35	31-27	?	deel1:p248
W:W18,20,27,32,37,41,46:B8,9,16,21,26,35,39	18-12	!	deel1:p248
B:W20,23,37,41,46:B9,16,21,26,35,39	39-44	?	deel1:p248
W:W18,20,31,32,37,41,46:B8,9,16,21,26,34,35	32-27	!	deel1:p248
W:W18,20,28,32,46:B8,9,16,35,39	28-23	!	deel1:p248
B:W20,23,37,41,46:B9,16,21,26,35,39	21-27	!	deel1:p248
B:W15,20,27,31,32,37,41,46:BK49,8,9,16,18,21,22,26	49-44	!	deel1:p248
B:W10,20,27,31,32,37,41,46:BK44,8,9,16,18,21,22,26	22-28	!	deel1:p248
W:W15,27,32,36,37,41,44,46,48,50:B4,8,9,12,16,17,21,26,34,45	48-43	?	deel1:p253
B:W15,27,31,32,37,41,43,44,46,50:B4,8,9,16,17,18,21,26,34,45	17-22	!	deel1:p253
B:W15,31,36,37,44,50:B4,12,14,16,26,45	16-21	!	deel1:p253
W:W15,27,31,32,37,41,43,44,46,50:B4,8,9,16,18,21,22,26,34,45	44-40	?	deel1:p253
B:W15,21,28,29,32,43,46,50:B4,9,16,45	16x49	!	deel1:p253
W:W15,27,31,32,33,34,37,39,41,46:B4,13,14,16,17,18,21,22,23,26	34-30	?	deel1:p254
B:W15,27,30,31,32,33,37,39,41,46:B4,13,14,16,17,18,21,22,23,26	14-20	!	deel1:p254
W:W15,27,31,32,33,34,37,39,41,46:B4,13,14,16,17,18,21,22,23,26	33-29	?	deel1:p254
B:W15,27,29,31,32,34,37,39,41,46:B4,13,14,16,17,18,21,22,23,26	14-20	!	deel1:p254
W:W15,27,31,32,33,34,37,39,41,46:B4,13,14,16,17,18,21,22,23,26	41-36	!	deel1:p254
W:W24,27,29,31,32,34,37,39,40,41,43,44,46,48:B3,4,6,8,9,13,14,15,16,17,18,21,25,26	40-35	?	deel1:p254
B:W16,25,26,30,31,35,38,39,40,42,45,47:B5,7,8,10,11,13,14,17,19,20,24,28	19-23	?	deel1:p255
W:W16,25,26,31,35,38,39,40,42,45,47:B5,7,8,10,11,14,17,20,23,24,28	31-27	!	deel1:p255
B:W16,25,26,27,35,38,39,40,42,45,47:B5,7,8,10,11,14,17,20,23,24,28	24-29	?	deel1:p255
W:W27,28,29,30,31,32,35,37,41,43,45,46,48:B3,4,6,9,11,12,13,15,16,18,19,21,26	30-24	?	deel1:p255
B:W24,27,28,29,31,32,37,41,43,45,46,48:B3,4,6,9,11,12,13,15,16,18,21,26	12-17	!	deel1:p255
B:W21,24,28,29,32,40,43,46:B3,6,9,10,13,16	16x49	!	deel1:p255
