branch	tip_sha	associated_pr	pr_state	disposition	reason
agent/forkc-teacher-diagnostics	6c50107ad99e5a242d2cfd82b36885688df57a0a	#340	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#340)
agent/pr-c-tools-consolidation	1ab9be08414f9306045ecc7c969dbf6bafd2f174	#333	CLOSED	delete_closed_pr_superseded	PR #333 replaced by #335
agent/t1bis-runner-v3-native	f37017e712545fc91e45254307105e764bb0b2cc	#334	CLOSED	delete_closed_pr_superseded	PR #334 replaced by #336
agent/t3-adj-g1-launch	9ba5c8314f54a7687c45e1acdf26b2c78d92b8ab	#338	OPEN	keep	PR #338 source retained until archive PR merges
agent/t3-adj-g1-probe	80e66b56a7138d8aa738e41642818d89a66dd9c1		NONE	delete_no_pr_obsolete	exact duplicate of migration/clean-main-20260717T140558Z
agent/t3-adj-g1-probe-v1	5145ea9844f0e33f9cb71a120f351ababfc1de94	#339	OPEN	delete_after_close_339	PR #339 duplicate replaced by archive PR
claude/0045-standby	b90ddb25f42f11cf5f39942ecead4e53e0408922	#85	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#85)
claude/0068-embed-variants-sweep	586ac28ee272e0b2f072f5ad195ab7ec81778435	#114	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#114)
claude/0069-jpat-v8-embed-cxx-port	417c9c87a8cd65fe439d312cb98d743e5771aadf	#115,#116	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#116)
claude/0071-v9-bigger-mlp	4d8e0c1d0168e9c19a0fd0d2d9450f3af5360b59	#117	MERGED	delete_post_pr_superseded	post-PR commits already integrated or superseded
claude/0073-scan-install-outside-tmp	4eeaed8ee5a5f0e1b1721d20d9e52f3d7b7497da	#123	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#123)
claude/0074-scan-distill-master-bce-fix	b6ab9f45e547fe145d6f64e3d98e7118321b557c	#124	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#124)
claude/0075-pure-distillation	91d90dd3f6790918cd022910176e426ae5f2c8c5	#125	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#125)
claude/0076-256-128-diagnostic	15fac7a8a86af117f77343917295671d489dd5fe	#126	MERGED	delete_post_pr_superseded	post-PR commits already integrated or superseded
claude/0077-pattern-distill	f653dcb8a9ac6982adeca8d770819b02c0ba8354	#127	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#127)
claude/0078-distill-1M-scaleup	39e2f31aad6edc58a90302656f9836e24acd150e	#128	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#128)
claude/0079-pattern-calibration-sweep	e4dab08ffbf3b9a6edb4ebfd54853fb6a62fbd51	#129	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#129)
claude/0080-pattern-1M	c8c20fa53376f4ea00e02aba1bb887193f59c899	#130	MERGED	delete_merged_pr_exact_tip	tip equals merged PR head.sha (#130)
