gen-data-wdl: n=250000 out=/root/jass/jobs/results/0010-gen-data-depth20-1M-smallbox/artefacts.src/shard-1.bin eval_depth=20 play_depth=4 max_plies=200 seed=1
  played 50 games, 1410 / 250000 positions
  played 100 games, 2762 / 250000 positions
  played 150 games, 4192 / 250000 positions
  played 200 games, 5593 / 250000 positions
  played 250 games, 6974 / 250000 positions
  played 300 games, 8326 / 250000 positions
  played 350 games, 9703 / 250000 positions
  played 400 games, 11100 / 250000 positions
  played 450 games, 12481 / 250000 positions
  played 500 games, 13879 / 250000 positions
  played 550 games, 15272 / 250000 positions
  played 600 games, 16691 / 250000 positions
  played 650 games, 18071 / 250000 positions
  played 700 games, 19420 / 250000 positions
  played 750 games, 20787 / 250000 positions
  played 800 games, 22244 / 250000 positions
  played 850 games, 23750 / 250000 positions
  played 900 games, 25225 / 250000 positions
  played 950 games, 26590 / 250000 positions
  played 1000 games, 27978 / 250000 positions
  played 1050 games, 29407 / 250000 positions
  played 1100 games, 30813 / 250000 positions
  played 1150 games, 32287 / 250000 positions
  played 1200 games, 33692 / 250000 positions
  played 1250 games, 35111 / 250000 positions
  played 1300 games, 36609 / 250000 positions
  played 1350 games, 38035 / 250000 positions
  played 1400 games, 39401 / 250000 positions
  played 1450 games, 40863 / 250000 positions
  played 1500 games, 42281 / 250000 positions
  played 1550 games, 43783 / 250000 positions
  played 1600 games, 45270 / 250000 positions
  played 1650 games, 46666 / 250000 positions
  played 1700 games, 48149 / 250000 positions
  played 1750 games, 49637 / 250000 positions
  played 1800 games, 51017 / 250000 positions
  played 1850 games, 52346 / 250000 positions
  played 1900 games, 53650 / 250000 positions
  played 1950 games, 54933 / 250000 positions
  played 2000 games, 56440 / 250000 positions
  played 2050 games, 57860 / 250000 positions
  played 2100 games, 59289 / 250000 positions
  played 2150 games, 60661 / 250000 positions
  played 2200 games, 62074 / 250000 positions
  played 2250 games, 63504 / 250000 positions
  played 2300 games, 64903 / 250000 positions
  played 2350 games, 66357 / 250000 positions
  played 2400 games, 67849 / 250000 positions
  played 2450 games, 69193 / 250000 positions
  played 2500 games, 70660 / 250000 positions
  played 2550 games, 72067 / 250000 positions
  played 2600 games, 73460 / 250000 positions
  played 2650 games, 74897 / 250000 positions
  played 2700 games, 76300 / 250000 positions
  played 2750 games, 77709 / 250000 positions
  played 2800 games, 79212 / 250000 positions
  played 2850 games, 80661 / 250000 positions
  played 2900 games, 82098 / 250000 positions
  played 2950 games, 83395 / 250000 positions
  played 3000 games, 84751 / 250000 positions
  played 3050 games, 86153 / 250000 positions
  played 3100 games, 87467 / 250000 positions
  played 3150 games, 88852 / 250000 positions
  played 3200 games, 90282 / 250000 positions
  played 3250 games, 91663 / 250000 positions
  played 3300 games, 92984 / 250000 positions
  played 3350 games, 94437 / 250000 positions
  played 3400 games, 95743 / 250000 positions
  played 3450 games, 97134 / 250000 positions
  played 3500 games, 98530 / 250000 positions
  played 3550 games, 99911 / 250000 positions
  played 3600 games, 101239 / 250000 positions
  played 3650 games, 102694 / 250000 positions
  played 3700 games, 104167 / 250000 positions
  played 3750 games, 105590 / 250000 positions
  played 3800 games, 106948 / 250000 positions
  played 3850 games, 108414 / 250000 positions
  played 3900 games, 109688 / 250000 positions
  played 3950 games, 111056 / 250000 positions
  played 4000 games, 112442 / 250000 positions
  played 4050 games, 113860 / 250000 positions
  played 4100 games, 115154 / 250000 positions
  played 4150 games, 116539 / 250000 positions
  played 4200 games, 117980 / 250000 positions
  played 4250 games, 119348 / 250000 positions
  played 4300 games, 120656 / 250000 positions
  played 4350 games, 122024 / 250000 positions
  played 4400 games, 123450 / 250000 positions
  played 4450 games, 124887 / 250000 positions
  played 4500 games, 126315 / 250000 positions
  played 4550 games, 127754 / 250000 positions
  played 4600 games, 129188 / 250000 positions
  played 4650 games, 130631 / 250000 positions
  played 4700 games, 132054 / 250000 positions
  played 4750 games, 133532 / 250000 positions
  played 4800 games, 134987 / 250000 positions
  played 4850 games, 136363 / 250000 positions
  played 4900 games, 137778 / 250000 positions
  played 4950 games, 139205 / 250000 positions
  played 5000 games, 140566 / 250000 positions
  played 5050 games, 142088 / 250000 positions
  played 5100 games, 143445 / 250000 positions
  played 5150 games, 144944 / 250000 positions
  played 5200 games, 146396 / 250000 positions
  played 5250 games, 147947 / 250000 positions
  played 5300 games, 149302 / 250000 positions
  played 5350 games, 150813 / 250000 positions
  played 5400 games, 152317 / 250000 positions
  played 5450 games, 153642 / 250000 positions
  played 5500 games, 155069 / 250000 positions
  played 5550 games, 156451 / 250000 positions
  played 5600 games, 157856 / 250000 positions
  played 5650 games, 159297 / 250000 positions
  played 5700 games, 160726 / 250000 positions
  played 5750 games, 162053 / 250000 positions
  played 5800 games, 163460 / 250000 positions
  played 5850 games, 164827 / 250000 positions
  played 5900 games, 166298 / 250000 positions
