# Generated by build_master_book.py
# rating_min=2000 max_plies=16 min_count=3
W:W31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	32-28
B:W28,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	18-23
W:W28,31,32,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,25	39-33
B:W28,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,25	15-20
W:W28,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,25	44-39
B:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,25	10-14
W:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25	50-44
B:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25	5-10
W:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,25	31-27
B:W27,28,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,25	19-23
W:W27,28,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,20,23,25	28x19
B:W19,27,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,20,25	14x23
W:W27,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,20,23,25	33-28
B:W27,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,20,23,25	10-14
W:W27,31,32,33,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,11,12,13,14,15,16,17,18,20,23,25	41-36
B:W27,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49:B1,2,3,4,6,7,8,9,11,12,13,14,15,16,17,18,20,23,25	13-19
B:W29,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	19-23
W:W29,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22	40-34
B:W29,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22	11-17
W:W29,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,22	45-40
B:W29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,22	6-11
W:W29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50:B1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22	50-45
B:W29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22	1-6
W:W29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22	31-26
B:W28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22	16-21
W:W28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22,23	28x19
B:W19,29,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,22	14x23
W:W29,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,20,22,23	35-30
B:W29,30,31,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,20,22,23	10-14
W:W29,30,31,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,20,22,23	30-24
B:W24,29,31,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49:B2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,20,22,23	5-10
B:W28,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	19-23
W:W28,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,25	37-32
B:W28,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,25	14-20
W:W28,31,32,33,34,35,36,37,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,25	42-38
B:W28,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,25	10-14
W:W28,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25	49-43
B:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50:B1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,25	5-10
W:W28,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50:B1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,25	31-26
W:W28,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,23	33-29
B:W28,29,31,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,23	23x32
W:W29,31,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,32	37x28
B:W28,29,31,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20	20-24
