loading /root/jass/jobs/results/0010-gen-data-depth20-1M-smallbox/artefacts.src/depth20-1M.bin...
  1000000 records loaded
encoding pattern indices (16 patterns)...
  done, shape=(16, 1000000)
epoch  0: train_loss=46651495.64  val_mse=91034936.00
epoch  1: train_loss=46633133.03  val_mse=91002744.00
epoch  2: train_loss=46616969.07  val_mse=90970640.00
epoch  3: train_loss=46599037.19  val_mse=90938560.00
epoch  4: train_loss=46582997.67  val_mse=90906488.00
epoch  5: train_loss=46566022.91  val_mse=90874432.00
epoch  6: train_loss=46549096.41  val_mse=90842424.00
epoch  7: train_loss=46532020.76  val_mse=90810424.00
epoch  8: train_loss=46515227.31  val_mse=90778472.00
epoch  9: train_loss=46498517.69  val_mse=90746536.00
epoch 10: train_loss=46482682.29  val_mse=90714616.00
epoch 11: train_loss=46465097.83  val_mse=90682760.00
epoch 12: train_loss=46447819.02  val_mse=90650928.00
epoch 13: train_loss=46430136.43  val_mse=90619080.00
epoch 14: train_loss=46415571.90  val_mse=90587320.00
epoch 15: train_loss=46397000.38  val_mse=90555528.00
epoch 16: train_loss=46381350.91  val_mse=90523752.00
epoch 17: train_loss=46363044.53  val_mse=90492048.00
epoch 18: train_loss=46347262.69  val_mse=90460376.00
epoch 19: train_loss=46330924.41  val_mse=90428712.00
epoch 20: train_loss=46315133.34  val_mse=90397088.00
epoch 21: train_loss=46296761.64  val_mse=90365448.00
epoch 22: train_loss=46280062.36  val_mse=90333896.00
epoch 23: train_loss=46263360.91  val_mse=90302360.00
epoch 24: train_loss=46248227.59  val_mse=90270904.00
epoch 25: train_loss=46229809.03  val_mse=90239336.00
epoch 26: train_loss=46214941.02  val_mse=90207880.00
epoch 27: train_loss=46197774.62  val_mse=90176416.00
epoch 28: train_loss=46182482.43  val_mse=90145000.00
epoch 29: train_loss=46163725.12  val_mse=90113592.00
wrote /root/jass/jobs/results/0025a-6-train-pattern-v2/artefacts.src/pattern-v2.jpat (25000160 bytes)
