gen-data-wdl: n=25000 out=/root/jass/jobs/results/0025a-cycle9-pilot-host-a/artefacts.src/shard-3.bin eval_depth=16 play_depth=4 max_plies=200 seed=5003 nnue=/root/jass/jobs/results/0018-train-with-master-bce/artefacts.src/nnue-256-128-q.bin
  played 50 games, 1471 / 25000 positions
  played 100 games, 2967 / 25000 positions
  played 150 games, 4461 / 25000 positions
  played 200 games, 5906 / 25000 positions
  played 250 games, 7410 / 25000 positions
  played 300 games, 8801 / 25000 positions
  played 350 games, 10211 / 25000 positions
  played 400 games, 11656 / 25000 positions
  played 450 games, 13224 / 25000 positions
  played 500 games, 14632 / 25000 positions
  played 550 games, 16197 / 25000 positions
  played 600 games, 17656 / 25000 positions
  played 650 games, 19063 / 25000 positions
  played 700 games, 20488 / 25000 positions
  played 750 games, 21909 / 25000 positions
  played 800 games, 23400 / 25000 positions
  played 850 games, 24844 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0025a-cycle9-pilot-host-a/artefacts.src/shard-3.bin
