gen-data-wdl: n=50000 out=/root/jass/jobs/results/0043-quiet-filter-experiment/artefacts.src/shard-4.bin eval_depth=16 play_depth=4 max_plies=200 seed=20004 nnue=/root/jass/jobs/results/0018-train-with-master-bce/artefacts.src/nnue-256-128-q.bin quiet_only=true
  played 50 games, 1004 / 50000 positions
  played 100 games, 2010 / 50000 positions
  played 150 games, 3101 / 50000 positions
  played 200 games, 4311 / 50000 positions
  played 250 games, 5445 / 50000 positions
  played 300 games, 6586 / 50000 positions
  played 350 games, 7753 / 50000 positions
  played 400 games, 8938 / 50000 positions
  played 450 games, 10088 / 50000 positions
  played 500 games, 11227 / 50000 positions
  played 550 games, 12395 / 50000 positions
  played 600 games, 13499 / 50000 positions
  played 650 games, 14647 / 50000 positions
  played 700 games, 15803 / 50000 positions
  played 750 games, 16963 / 50000 positions
  played 800 games, 18116 / 50000 positions
  played 850 games, 19246 / 50000 positions
  played 900 games, 20413 / 50000 positions
  played 950 games, 21477 / 50000 positions
  played 1000 games, 22623 / 50000 positions
  played 1050 games, 23760 / 50000 positions
  played 1100 games, 24797 / 50000 positions
  played 1150 games, 26017 / 50000 positions
  played 1200 games, 27162 / 50000 positions
  played 1250 games, 28271 / 50000 positions
  played 1300 games, 29305 / 50000 positions
  played 1350 games, 30395 / 50000 positions
  played 1400 games, 31615 / 50000 positions
  played 1450 games, 32654 / 50000 positions
  played 1500 games, 33845 / 50000 positions
  played 1550 games, 35018 / 50000 positions
  played 1600 games, 36157 / 50000 positions
  played 1650 games, 37256 / 50000 positions
  played 1700 games, 38361 / 50000 positions
  played 1750 games, 39575 / 50000 positions
  played 1800 games, 40664 / 50000 positions
  played 1850 games, 41737 / 50000 positions
  played 1900 games, 42743 / 50000 positions
  played 1950 games, 43885 / 50000 positions
  played 2000 games, 45018 / 50000 positions
  played 2050 games, 46055 / 50000 positions
  played 2100 games, 47211 / 50000 positions
  played 2150 games, 48239 / 50000 positions
  played 2200 games, 49339 / 50000 positions
wrote 50000 WDL records to /root/jass/jobs/results/0043-quiet-filter-experiment/artefacts.src/shard-4.bin
