gen-data-wdl: n=250000 out=/root/jass/jobs/results/0050-v7-quiet-pv-extract-1M/artefacts.src/shard-3.bin eval_depth=16 play_depth=4 max_plies=200 seed=22003 nnue=/root/jass/jobs/results/0018-train-with-master-bce/artefacts.src/nnue-256-128-q.bin quiet_only=true pv_extract=3
  played 50 games, 4145 / 250000 positions
  played 100 games, 8334 / 250000 positions
  played 150 games, 12570 / 250000 positions
  played 200 games, 16368 / 250000 positions
  played 250 games, 20299 / 250000 positions
  played 300 games, 23887 / 250000 positions
  played 350 games, 28180 / 250000 positions
  played 400 games, 32261 / 250000 positions
  played 450 games, 36059 / 250000 positions
  played 500 games, 39845 / 250000 positions
  played 550 games, 43326 / 250000 positions
  played 600 games, 47240 / 250000 positions
  played 650 games, 51403 / 250000 positions
  played 700 games, 55148 / 250000 positions
  played 750 games, 59075 / 250000 positions
  played 800 games, 63089 / 250000 positions
  played 850 games, 66733 / 250000 positions
  played 900 games, 70482 / 250000 positions
  played 950 games, 74702 / 250000 positions
  played 1000 games, 78914 / 250000 positions
  played 1050 games, 83002 / 250000 positions
  played 1100 games, 86915 / 250000 positions
  played 1150 games, 91074 / 250000 positions
  played 1200 games, 94835 / 250000 positions
  played 1250 games, 98580 / 250000 positions
  played 1300 games, 102656 / 250000 positions
  played 1350 games, 106429 / 250000 positions
  played 1400 games, 110235 / 250000 positions
  played 1450 games, 114101 / 250000 positions
  played 1500 games, 118137 / 250000 positions
  played 1550 games, 121772 / 250000 positions
  played 1600 games, 125737 / 250000 positions
  played 1650 games, 129560 / 250000 positions
  played 1700 games, 133429 / 250000 positions
  played 1750 games, 137519 / 250000 positions
  played 1800 games, 142132 / 250000 positions
  played 1850 games, 146163 / 250000 positions
  played 1900 games, 150208 / 250000 positions
  played 1950 games, 154076 / 250000 positions
  played 2000 games, 158083 / 250000 positions
  played 2050 games, 161550 / 250000 positions
  played 2100 games, 165364 / 250000 positions
  played 2150 games, 169317 / 250000 positions
  played 2200 games, 173261 / 250000 positions
  played 2250 games, 177145 / 250000 positions
  played 2300 games, 181147 / 250000 positions
  played 2350 games, 184984 / 250000 positions
  played 2400 games, 188607 / 250000 positions
  played 2450 games, 192279 / 250000 positions
  played 2500 games, 196294 / 250000 positions
  played 2550 games, 200769 / 250000 positions
  played 2600 games, 204605 / 250000 positions
  played 2650 games, 208470 / 250000 positions
  played 2700 games, 212628 / 250000 positions
  played 2750 games, 216288 / 250000 positions
  played 2800 games, 220301 / 250000 positions
  played 2850 games, 223934 / 250000 positions
  played 2900 games, 227928 / 250000 positions
  played 2950 games, 231763 / 250000 positions
  played 3000 games, 235991 / 250000 positions
  played 3050 games, 240200 / 250000 positions
  played 3100 games, 244021 / 250000 positions
  played 3150 games, 248013 / 250000 positions
wrote 250000 WDL records to /root/jass/jobs/results/0050-v7-quiet-pv-extract-1M/artefacts.src/shard-3.bin
