gen-data-wdl: n=125000 out=/root/jass/jobs/results/0056-v8-quiet-pv-1M-v7-labeller/artefacts.src/shard-4.bin eval_depth=16 play_depth=4 max_plies=200 seed=23004 nnue=/root/jass/jobs/results/0050-v7-quiet-pv-extract-1M/artefacts.src/nnue-256-128-q.bin quiet_only=true pv_extract=3
  played 50 games, 4169 / 125000 positions
  played 100 games, 7782 / 125000 positions
  played 150 games, 12283 / 125000 positions
  played 200 games, 16371 / 125000 positions
  played 250 games, 20601 / 125000 positions
  played 300 games, 24633 / 125000 positions
  played 350 games, 29136 / 125000 positions
  played 400 games, 33345 / 125000 positions
  played 450 games, 37442 / 125000 positions
  played 500 games, 41331 / 125000 positions
  played 550 games, 45130 / 125000 positions
  played 600 games, 48958 / 125000 positions
  played 650 games, 53298 / 125000 positions
  played 700 games, 57402 / 125000 positions
  played 750 games, 61098 / 125000 positions
  played 800 games, 64918 / 125000 positions
  played 850 games, 69042 / 125000 positions
  played 900 games, 73239 / 125000 positions
  played 950 games, 76901 / 125000 positions
  played 1000 games, 80809 / 125000 positions
  played 1050 games, 84984 / 125000 positions
  played 1100 games, 88955 / 125000 positions
  played 1150 games, 93529 / 125000 positions
  played 1200 games, 97548 / 125000 positions
  played 1250 games, 101555 / 125000 positions
  played 1300 games, 105860 / 125000 positions
  played 1350 games, 109888 / 125000 positions
  played 1400 games, 114187 / 125000 positions
  played 1450 games, 118398 / 125000 positions
  played 1500 games, 122247 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/0056-v8-quiet-pv-1M-v7-labeller/artefacts.src/shard-4.bin
