gen-data-wdl: n=25000 out=/root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/iter1-shard3.bin eval_depth=6 play_depth=6 max_plies=200 seed=32103 nnue=/root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/h2-v0.jpat quiet_only=false pv_extract=0
  played 50 games, 1745 / 25000 positions
  played 100 games, 3435 / 25000 positions
  played 150 games, 5192 / 25000 positions
  played 200 games, 6788 / 25000 positions
  played 250 games, 8364 / 25000 positions
  played 300 games, 9926 / 25000 positions
  played 350 games, 11604 / 25000 positions
  played 400 games, 13244 / 25000 positions
  played 450 games, 14875 / 25000 positions
  played 500 games, 16428 / 25000 positions
  played 550 games, 18056 / 25000 positions
  played 600 games, 19704 / 25000 positions
  played 650 games, 21348 / 25000 positions
  played 700 games, 22939 / 25000 positions
  played 750 games, 24711 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0063-h2-volume-scaleup-kitchen-sink/artefacts.src/iter1-shard3.bin
