input : /root/jass/jobs/results/0056-v8-quiet-pv-1M-v7-labeller/artefacts.src/v8-quiet-pv-1M.bin (1000000 records, processing 125001 from offset 500004)
  10000/125001  (8.0%)  rate=62.1 pos/s  eta=30.9 min  skipped=35
  20000/125001  (16.0%)  rate=60.8 pos/s  eta=28.8 min  skipped=75
  30000/125001  (24.0%)  rate=60.8 pos/s  eta=26.1 min  skipped=119
  40000/125001  (32.0%)  rate=61.9 pos/s  eta=22.9 min  skipped=146
  50000/125001  (40.0%)  rate=63.2 pos/s  eta=19.8 min  skipped=204
  60000/125001  (48.0%)  rate=63.2 pos/s  eta=17.1 min  skipped=241
  70000/125001  (56.0%)  rate=63.5 pos/s  eta=14.4 min  skipped=282
  80000/125001  (64.0%)  rate=63.8 pos/s  eta=11.8 min  skipped=314
  90000/125001  (72.0%)  rate=63.6 pos/s  eta=9.2 min  skipped=339
  100000/125001  (80.0%)  rate=63.7 pos/s  eta=6.5 min  skipped=365
  110000/125001  (88.0%)  rate=63.7 pos/s  eta=3.9 min  skipped=397
  120000/125001  (96.0%)  rate=63.9 pos/s  eta=1.3 min  skipped=448
wrote /root/jass/jobs/results/0078-scan-distill-1M-mlp-scaleup/artefacts.src/shard-4.bin (125001 records, 471 skipped)
