input : /root/jass/jobs/results/0014-fetch-master-games/artefacts.src/master-1600.jnnw (4738008 records, processing 592244 from offset 4145764)
  10000/592244  (1.7%)  rate=98.2 pos/s  eta=98.8 min  skipped=1867
  20000/592244  (3.4%)  rate=94.3 pos/s  eta=101.1 min  skipped=3670
  30000/592244  (5.1%)  rate=93.2 pos/s  eta=100.5 min  skipped=5453
  40000/592244  (6.8%)  rate=91.7 pos/s  eta=100.4 min  skipped=7238
  50000/592244  (8.4%)  rate=91.3 pos/s  eta=99.0 min  skipped=9025
  60000/592244  (10.1%)  rate=91.3 pos/s  eta=97.2 min  skipped=10823
  70000/592244  (11.8%)  rate=91.7 pos/s  eta=94.9 min  skipped=12690
  80000/592244  (13.5%)  rate=91.7 pos/s  eta=93.1 min  skipped=14597
  90000/592244  (15.2%)  rate=92.3 pos/s  eta=90.7 min  skipped=16506
  100000/592244  (16.9%)  rate=92.7 pos/s  eta=88.5 min  skipped=18437
  110000/592244  (18.6%)  rate=93.1 pos/s  eta=86.4 min  skipped=20386
  120000/592244  (20.3%)  rate=92.9 pos/s  eta=84.7 min  skipped=22284
  130000/592244  (22.0%)  rate=93.2 pos/s  eta=82.6 min  skipped=24235
  140000/592244  (23.6%)  rate=93.4 pos/s  eta=80.7 min  skipped=26178
  150000/592244  (25.3%)  rate=93.3 pos/s  eta=79.0 min  skipped=28124
  160000/592244  (27.0%)  rate=93.6 pos/s  eta=77.0 min  skipped=30019
  170000/592244  (28.7%)  rate=93.3 pos/s  eta=75.4 min  skipped=31955
  180000/592244  (30.4%)  rate=92.7 pos/s  eta=74.1 min  skipped=33777
  190000/592244  (32.1%)  rate=92.4 pos/s  eta=72.5 min  skipped=35632
  200000/592244  (33.8%)  rate=92.3 pos/s  eta=70.8 min  skipped=37501
  210000/592244  (35.5%)  rate=92.2 pos/s  eta=69.1 min  skipped=39452
  220000/592244  (37.1%)  rate=92.2 pos/s  eta=67.3 min  skipped=41273
  230000/592244  (38.8%)  rate=92.3 pos/s  eta=65.4 min  skipped=43192
  240000/592244  (40.5%)  rate=92.3 pos/s  eta=63.6 min  skipped=44999
  250000/592244  (42.2%)  rate=92.5 pos/s  eta=61.7 min  skipped=46905
  260000/592244  (43.9%)  rate=92.5 pos/s  eta=59.9 min  skipped=48795
  270000/592244  (45.6%)  rate=92.3 pos/s  eta=58.2 min  skipped=50710
  280000/592244  (47.3%)  rate=92.3 pos/s  eta=56.4 min  skipped=52560
  290000/592244  (49.0%)  rate=92.3 pos/s  eta=54.6 min  skipped=54498
  300000/592244  (50.7%)  rate=92.3 pos/s  eta=52.8 min  skipped=56384
  310000/592244  (52.3%)  rate=92.1 pos/s  eta=51.1 min  skipped=58241
  320000/592244  (54.0%)  rate=92.2 pos/s  eta=49.2 min  skipped=60166
  330000/592244  (55.7%)  rate=92.1 pos/s  eta=47.5 min  skipped=62076
  340000/592244  (57.4%)  rate=92.1 pos/s  eta=45.6 min  skipped=63932
  350000/592244  (59.1%)  rate=92.1 pos/s  eta=43.8 min  skipped=65789
  360000/592244  (60.8%)  rate=92.0 pos/s  eta=42.1 min  skipped=67642
  370000/592244  (62.5%)  rate=92.1 pos/s  eta=40.2 min  skipped=69530
  380000/592244  (64.2%)  rate=92.1 pos/s  eta=38.4 min  skipped=71414
  390000/592244  (65.9%)  rate=92.2 pos/s  eta=36.6 min  skipped=73358
  400000/592244  (67.5%)  rate=92.4 pos/s  eta=34.7 min  skipped=75235
  410000/592244  (69.2%)  rate=92.6 pos/s  eta=32.8 min  skipped=77051
  420000/592244  (70.9%)  rate=92.6 pos/s  eta=31.0 min  skipped=78851
  430000/592244  (72.6%)  rate=92.7 pos/s  eta=29.2 min  skipped=80720
  440000/592244  (74.3%)  rate=92.8 pos/s  eta=27.3 min  skipped=82484
  450000/592244  (76.0%)  rate=92.8 pos/s  eta=25.5 min  skipped=84193
  460000/592244  (77.7%)  rate=92.8 pos/s  eta=23.7 min  skipped=85994
  470000/592244  (79.4%)  rate=92.8 pos/s  eta=21.9 min  skipped=87793
  480000/592244  (81.0%)  rate=92.8 pos/s  eta=20.2 min  skipped=89615
  490000/592244  (82.7%)  rate=92.9 pos/s  eta=18.3 min  skipped=91424
  500000/592244  (84.4%)  rate=92.9 pos/s  eta=16.5 min  skipped=93235
  510000/592244  (86.1%)  rate=93.0 pos/s  eta=14.7 min  skipped=95078
  520000/592244  (87.8%)  rate=93.1 pos/s  eta=12.9 min  skipped=96952
  530000/592244  (89.5%)  rate=93.2 pos/s  eta=11.1 min  skipped=98760
  540000/592244  (91.2%)  rate=93.2 pos/s  eta=9.3 min  skipped=100554
  550000/592244  (92.9%)  rate=93.1 pos/s  eta=7.6 min  skipped=102354
  560000/592244  (94.6%)  rate=92.8 pos/s  eta=5.8 min  skipped=104250
  570000/592244  (96.2%)  rate=92.9 pos/s  eta=4.0 min  skipped=106141
  580000/592244  (97.9%)  rate=93.1 pos/s  eta=2.2 min  skipped=108078
  590000/592244  (99.6%)  rate=93.4 pos/s  eta=0.4 min  skipped=109955
wrote /root/jass/jobs/results/0084-scan-distill-1024-512-scale-2M/artefacts.src/master-shard-7.bin (592244 records, 110402 skipped)
