input : /root/jass/jobs/results/0050-v7-quiet-pv-extract-1M/artefacts.src/v7-quiet-pv-1M.bin (1000000 records, processing 125001 from offset 0)
  10000/125001  (8.0%)  rate=65.2 pos/s  eta=29.4 min  skipped=38
  20000/125001  (16.0%)  rate=63.3 pos/s  eta=27.7 min  skipped=69
  30000/125001  (24.0%)  rate=63.7 pos/s  eta=24.9 min  skipped=121
  40000/125001  (32.0%)  rate=64.4 pos/s  eta=22.0 min  skipped=168
  50000/125001  (40.0%)  rate=64.5 pos/s  eta=19.4 min  skipped=197
  60000/125001  (48.0%)  rate=64.3 pos/s  eta=16.9 min  skipped=240
  70000/125001  (56.0%)  rate=64.3 pos/s  eta=14.3 min  skipped=284
  80000/125001  (64.0%)  rate=64.2 pos/s  eta=11.7 min  skipped=337
  90000/125001  (72.0%)  rate=64.4 pos/s  eta=9.1 min  skipped=396
  100000/125001  (80.0%)  rate=64.3 pos/s  eta=6.5 min  skipped=437
  110000/125001  (88.0%)  rate=64.7 pos/s  eta=3.9 min  skipped=478
  120000/125001  (96.0%)  rate=64.6 pos/s  eta=1.3 min  skipped=525
wrote /root/jass/jobs/results/0084-scan-distill-1024-512-scale-2M/artefacts.src/v7-shard-0.bin (125001 records, 534 skipped)
