input : /root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/v11-selfplay-raw.bin (500000 records, processing 62501 from offset 250004)
  5000/62501  (8.0%)  rate=56.2 pos/s  eta=17.1 min  skipped=17
  10000/62501  (16.0%)  rate=54.9 pos/s  eta=15.9 min  skipped=33
  15000/62501  (24.0%)  rate=55.8 pos/s  eta=14.2 min  skipped=55
  20000/62501  (32.0%)  rate=55.8 pos/s  eta=12.7 min  skipped=74
  25000/62501  (40.0%)  rate=55.4 pos/s  eta=11.3 min  skipped=93
  30000/62501  (48.0%)  rate=55.5 pos/s  eta=9.8 min  skipped=113
  35000/62501  (56.0%)  rate=55.3 pos/s  eta=8.3 min  skipped=138
  40000/62501  (64.0%)  rate=55.0 pos/s  eta=6.8 min  skipped=168
  45000/62501  (72.0%)  rate=55.2 pos/s  eta=5.3 min  skipped=185
  50000/62501  (80.0%)  rate=55.0 pos/s  eta=3.8 min  skipped=198
  55000/62501  (88.0%)  rate=55.1 pos/s  eta=2.3 min  skipped=214
  60000/62501  (96.0%)  rate=55.2 pos/s  eta=0.8 min  skipped=223
wrote /root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/rel-shard-4.bin (62501 records, 231 skipped)
