gen-data-wdl: n=62500 out=/root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/shard-6.bin eval_depth=4 play_depth=4 max_plies=200 seed=86006 nnue=/root/jass/jobs/results/0083-scan-distill-v11-capacity-bump/artefacts.src/arch-1024-512/nnue-1024-512-q.bin quiet_only=true pv_extract=3
  played 50 games, 1229 / 62500 positions
  played 100 games, 2418 / 62500 positions
  played 150 games, 3625 / 62500 positions
  played 200 games, 4920 / 62500 positions
  played 250 games, 6062 / 62500 positions
  played 300 games, 7263 / 62500 positions
  played 350 games, 8482 / 62500 positions
  played 400 games, 9699 / 62500 positions
  played 450 games, 10967 / 62500 positions
  played 500 games, 12104 / 62500 positions
  played 550 games, 13268 / 62500 positions
  played 600 games, 14472 / 62500 positions
  played 650 games, 15685 / 62500 positions
  played 700 games, 16932 / 62500 positions
  played 750 games, 18206 / 62500 positions
  played 800 games, 19306 / 62500 positions
  played 850 games, 20515 / 62500 positions
  played 900 games, 21737 / 62500 positions
  played 950 games, 22929 / 62500 positions
  played 1000 games, 24162 / 62500 positions
  played 1050 games, 25386 / 62500 positions
  played 1100 games, 26567 / 62500 positions
  played 1150 games, 27794 / 62500 positions
  played 1200 games, 28916 / 62500 positions
  played 1250 games, 30124 / 62500 positions
  played 1300 games, 31233 / 62500 positions
  played 1350 games, 32447 / 62500 positions
  played 1400 games, 33706 / 62500 positions
  played 1450 games, 34926 / 62500 positions
  played 1500 games, 36050 / 62500 positions
  played 1550 games, 37275 / 62500 positions
  played 1600 games, 38433 / 62500 positions
  played 1650 games, 39779 / 62500 positions
  played 1700 games, 41000 / 62500 positions
  played 1750 games, 42255 / 62500 positions
  played 1800 games, 43444 / 62500 positions
  played 1850 games, 44673 / 62500 positions
  played 1900 games, 45798 / 62500 positions
  played 1950 games, 46960 / 62500 positions
  played 2000 games, 48036 / 62500 positions
  played 2050 games, 49208 / 62500 positions
  played 2100 games, 50405 / 62500 positions
  played 2150 games, 51659 / 62500 positions
  played 2200 games, 52800 / 62500 positions
  played 2250 games, 54096 / 62500 positions
  played 2300 games, 55284 / 62500 positions
  played 2350 games, 56545 / 62500 positions
  played 2400 games, 57838 / 62500 positions
  played 2450 games, 59013 / 62500 positions
  played 2500 games, 60189 / 62500 positions
  played 2550 games, 61319 / 62500 positions
  played 2600 games, 62448 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/0086-v11-selfplay-scan-distill-pilot/artefacts.src/shard-6.bin
