input : /root/jass/jobs/results/0130-phase3-scan-bootstrap-pilot/artefacts.src/master-sample-200K.jnnw (200000 records, processing 25000 from offset 175000)
  1000/25000  (4.0%)  rate=66.9 pos/s  eta=6.0 min  skipped=186
  2000/25000  (8.0%)  rate=64.6 pos/s  eta=5.9 min  skipped=346
  3000/25000  (12.0%)  rate=65.6 pos/s  eta=5.6 min  skipped=554
  4000/25000  (16.0%)  rate=66.3 pos/s  eta=5.3 min  skipped=735
  5000/25000  (20.0%)  rate=66.2 pos/s  eta=5.0 min  skipped=921
  6000/25000  (24.0%)  rate=66.7 pos/s  eta=4.7 min  skipped=1132
  7000/25000  (28.0%)  rate=66.4 pos/s  eta=4.5 min  skipped=1316
  8000/25000  (32.0%)  rate=65.5 pos/s  eta=4.3 min  skipped=1497
  9000/25000  (36.0%)  rate=65.3 pos/s  eta=4.1 min  skipped=1684
  10000/25000  (40.0%)  rate=65.3 pos/s  eta=3.8 min  skipped=1857
  11000/25000  (44.0%)  rate=65.0 pos/s  eta=3.6 min  skipped=2021
  12000/25000  (48.0%)  rate=65.0 pos/s  eta=3.3 min  skipped=2210
  13000/25000  (52.0%)  rate=64.8 pos/s  eta=3.1 min  skipped=2388
  14000/25000  (56.0%)  rate=64.9 pos/s  eta=2.8 min  skipped=2601
  15000/25000  (60.0%)  rate=64.6 pos/s  eta=2.6 min  skipped=2783
  16000/25000  (64.0%)  rate=64.6 pos/s  eta=2.3 min  skipped=2977
  17000/25000  (68.0%)  rate=64.7 pos/s  eta=2.1 min  skipped=3153
  18000/25000  (72.0%)  rate=64.9 pos/s  eta=1.8 min  skipped=3331
  19000/25000  (76.0%)  rate=64.9 pos/s  eta=1.5 min  skipped=3484
  20000/25000  (80.0%)  rate=65.1 pos/s  eta=1.3 min  skipped=3674
  21000/25000  (84.0%)  rate=65.3 pos/s  eta=1.0 min  skipped=3889
  22000/25000  (88.0%)  rate=65.3 pos/s  eta=0.8 min  skipped=4067
  23000/25000  (92.0%)  rate=65.4 pos/s  eta=0.5 min  skipped=4238
  24000/25000  (96.0%)  rate=65.2 pos/s  eta=0.3 min  skipped=4410
  25000/25000  (100.0%)  rate=65.7 pos/s  eta=0.0 min  skipped=4597
wrote /root/jass/jobs/results/0130-phase3-scan-bootstrap-pilot/artefacts.src/shard-7.jnnw (25000 records, 4597 skipped)
