input : /root/jass/jobs/results/0131-phase3-scan-bootstrap-full/artefacts.src/master-sample-1500K.jnnw (1500000 records, processing 187500 from offset 750000)
  1000/187500  (0.5%)  rate=189.2 pos/s  eta=16.4 min  skipped=189
  2000/187500  (1.1%)  rate=191.7 pos/s  eta=16.1 min  skipped=374
  3000/187500  (1.6%)  rate=195.8 pos/s  eta=15.7 min  skipped=571
  4000/187500  (2.1%)  rate=195.8 pos/s  eta=15.6 min  skipped=756
  5000/187500  (2.7%)  rate=196.1 pos/s  eta=15.5 min  skipped=949
  6000/187500  (3.2%)  rate=194.8 pos/s  eta=15.5 min  skipped=1130
  7000/187500  (3.7%)  rate=193.7 pos/s  eta=15.5 min  skipped=1334
  8000/187500  (4.3%)  rate=193.6 pos/s  eta=15.5 min  skipped=1512
  9000/187500  (4.8%)  rate=193.2 pos/s  eta=15.4 min  skipped=1689
  10000/187500  (5.3%)  rate=192.7 pos/s  eta=15.3 min  skipped=1889
  11000/187500  (5.9%)  rate=192.4 pos/s  eta=15.3 min  skipped=2065
  12000/187500  (6.4%)  rate=192.4 pos/s  eta=15.2 min  skipped=2244
  13000/187500  (6.9%)  rate=191.6 pos/s  eta=15.2 min  skipped=2434
  14000/187500  (7.5%)  rate=191.7 pos/s  eta=15.1 min  skipped=2608
  15000/187500  (8.0%)  rate=192.3 pos/s  eta=15.0 min  skipped=2804
  16000/187500  (8.5%)  rate=191.9 pos/s  eta=14.9 min  skipped=2984
  17000/187500  (9.1%)  rate=191.9 pos/s  eta=14.8 min  skipped=3172
  18000/187500  (9.6%)  rate=192.0 pos/s  eta=14.7 min  skipped=3370
  19000/187500  (10.1%)  rate=192.0 pos/s  eta=14.6 min  skipped=3564
  20000/187500  (10.7%)  rate=192.4 pos/s  eta=14.5 min  skipped=3763
  21000/187500  (11.2%)  rate=192.5 pos/s  eta=14.4 min  skipped=3957
  22000/187500  (11.7%)  rate=192.5 pos/s  eta=14.3 min  skipped=4165
  23000/187500  (12.3%)  rate=192.6 pos/s  eta=14.2 min  skipped=4359
  24000/187500  (12.8%)  rate=192.8 pos/s  eta=14.1 min  skipped=4566
  25000/187500  (13.3%)  rate=193.1 pos/s  eta=14.0 min  skipped=4755
  26000/187500  (13.9%)  rate=193.1 pos/s  eta=13.9 min  skipped=4926
  27000/187500  (14.4%)  rate=193.0 pos/s  eta=13.9 min  skipped=5117
  28000/187500  (14.9%)  rate=193.1 pos/s  eta=13.8 min  skipped=5315
  29000/187500  (15.5%)  rate=192.8 pos/s  eta=13.7 min  skipped=5497
  30000/187500  (16.0%)  rate=192.2 pos/s  eta=13.7 min  skipped=5688
  31000/187500  (16.5%)  rate=192.1 pos/s  eta=13.6 min  skipped=5869
  32000/187500  (17.1%)  rate=192.1 pos/s  eta=13.5 min  skipped=6063
  33000/187500  (17.6%)  rate=191.7 pos/s  eta=13.4 min  skipped=6244
  34000/187500  (18.1%)  rate=192.2 pos/s  eta=13.3 min  skipped=6436
  35000/187500  (18.7%)  rate=193.3 pos/s  eta=13.1 min  skipped=6618
  36000/187500  (19.2%)  rate=194.1 pos/s  eta=13.0 min  skipped=6807
  37000/187500  (19.7%)  rate=195.1 pos/s  eta=12.9 min  skipped=7000
  38000/187500  (20.3%)  rate=195.9 pos/s  eta=12.7 min  skipped=7194
  39000/187500  (20.8%)  rate=196.6 pos/s  eta=12.6 min  skipped=7369
  40000/187500  (21.3%)  rate=197.5 pos/s  eta=12.5 min  skipped=7560
  41000/187500  (21.9%)  rate=198.1 pos/s  eta=12.3 min  skipped=7737
  42000/187500  (22.4%)  rate=198.9 pos/s  eta=12.2 min  skipped=7919
  43000/187500  (22.9%)  rate=199.6 pos/s  eta=12.1 min  skipped=8109
  44000/187500  (23.5%)  rate=199.7 pos/s  eta=12.0 min  skipped=8282
  45000/187500  (24.0%)  rate=200.2 pos/s  eta=11.9 min  skipped=8465
  46000/187500  (24.5%)  rate=200.8 pos/s  eta=11.7 min  skipped=8650
  47000/187500  (25.1%)  rate=201.7 pos/s  eta=11.6 min  skipped=8839
  48000/187500  (25.6%)  rate=202.2 pos/s  eta=11.5 min  skipped=9030
  49000/187500  (26.1%)  rate=202.7 pos/s  eta=11.4 min  skipped=9202
  50000/187500  (26.7%)  rate=203.5 pos/s  eta=11.3 min  skipped=9392
  51000/187500  (27.2%)  rate=203.6 pos/s  eta=11.2 min  skipped=9569
  52000/187500  (27.7%)  rate=203.7 pos/s  eta=11.1 min  skipped=9749
  53000/187500  (28.3%)  rate=203.9 pos/s  eta=11.0 min  skipped=9936
  54000/187500  (28.8%)  rate=203.6 pos/s  eta=10.9 min  skipped=10130
  55000/187500  (29.3%)  rate=203.4 pos/s  eta=10.9 min  skipped=10308
  56000/187500  (29.9%)  rate=203.3 pos/s  eta=10.8 min  skipped=10509
  57000/187500  (30.4%)  rate=203.4 pos/s  eta=10.7 min  skipped=10713
  58000/187500  (30.9%)  rate=203.3 pos/s  eta=10.6 min  skipped=10906
  59000/187500  (31.5%)  rate=203.2 pos/s  eta=10.5 min  skipped=11074
  60000/187500  (32.0%)  rate=203.3 pos/s  eta=10.5 min  skipped=11276
  61000/187500  (32.5%)  rate=203.2 pos/s  eta=10.4 min  skipped=11481
  62000/187500  (33.1%)  rate=203.0 pos/s  eta=10.3 min  skipped=11656
  63000/187500  (33.6%)  rate=203.0 pos/s  eta=10.2 min  skipped=11860
  64000/187500  (34.1%)  rate=203.2 pos/s  eta=10.1 min  skipped=12065
  65000/187500  (34.7%)  rate=203.2 pos/s  eta=10.0 min  skipped=12248
  66000/187500  (35.2%)  rate=203.3 pos/s  eta=10.0 min  skipped=12448
  67000/187500  (35.7%)  rate=203.2 pos/s  eta=9.9 min  skipped=12632
  68000/187500  (36.3%)  rate=203.1 pos/s  eta=9.8 min  skipped=12818
  69000/187500  (36.8%)  rate=202.8 pos/s  eta=9.7 min  skipped=13004
  70000/187500  (37.3%)  rate=202.8 pos/s  eta=9.7 min  skipped=13188
  71000/187500  (37.9%)  rate=202.7 pos/s  eta=9.6 min  skipped=13383
  72000/187500  (38.4%)  rate=202.5 pos/s  eta=9.5 min  skipped=13568
  73000/187500  (38.9%)  rate=202.4 pos/s  eta=9.4 min  skipped=13770
  74000/187500  (39.5%)  rate=201.9 pos/s  eta=9.4 min  skipped=13934
