input : /root/jass/jobs/results/0160-gen-more-data-3M/artefacts.src/selfplay-3M.jnnw (3000000 records, processing 375000 from offset 0, drop_skipped=True)
  1000/375000  (0.3%)  rate=198.8 pos/s  eta=31.4 min  written=904 skipped=96
  2000/375000  (0.5%)  rate=202.2 pos/s  eta=30.7 min  written=1825 skipped=175
  3000/375000  (0.8%)  rate=200.6 pos/s  eta=30.9 min  written=2729 skipped=271
  4000/375000  (1.1%)  rate=200.0 pos/s  eta=30.9 min  written=3639 skipped=361
  5000/375000  (1.3%)  rate=200.4 pos/s  eta=30.8 min  written=4536 skipped=464
  8000/375000  (2.1%)  rate=199.7 pos/s  eta=30.6 min  written=7223 skipped=777
  9000/375000  (2.4%)  rate=199.7 pos/s  eta=30.5 min  written=8138 skipped=862
  10000/375000  (2.7%)  rate=200.1 pos/s  eta=30.4 min  written=9035 skipped=965
  11000/375000  (2.9%)  rate=199.6 pos/s  eta=30.4 min  written=9933 skipped=1067
  12000/375000  (3.2%)  rate=200.2 pos/s  eta=30.2 min  written=10828 skipped=1172
  14000/375000  (3.7%)  rate=200.5 pos/s  eta=30.0 min  written=12621 skipped=1379
  17000/375000  (4.5%)  rate=200.3 pos/s  eta=29.8 min  written=15316 skipped=1684
  19000/375000  (5.1%)  rate=200.0 pos/s  eta=29.7 min  written=17123 skipped=1877
  20000/375000  (5.3%)  rate=199.6 pos/s  eta=29.6 min  written=18019 skipped=1981
  22000/375000  (5.9%)  rate=200.1 pos/s  eta=29.4 min  written=19823 skipped=2177
  23000/375000  (6.1%)  rate=200.4 pos/s  eta=29.3 min  written=20725 skipped=2275
  24000/375000  (6.4%)  rate=200.7 pos/s  eta=29.1 min  written=21634 skipped=2366
  25000/375000  (6.7%)  rate=200.6 pos/s  eta=29.1 min  written=22551 skipped=2449
  26000/375000  (6.9%)  rate=200.6 pos/s  eta=29.0 min  written=23464 skipped=2536
  27000/375000  (7.2%)  rate=201.0 pos/s  eta=28.9 min  written=24358 skipped=2642
  28000/375000  (7.5%)  rate=201.2 pos/s  eta=28.8 min  written=25266 skipped=2734
  29000/375000  (7.7%)  rate=201.4 pos/s  eta=28.6 min  written=26160 skipped=2840
  31000/375000  (8.3%)  rate=201.7 pos/s  eta=28.4 min  written=27944 skipped=3056
  33000/375000  (8.8%)  rate=201.5 pos/s  eta=28.3 min  written=29739 skipped=3261
  35000/375000  (9.3%)  rate=201.8 pos/s  eta=28.1 min  written=31525 skipped=3475
  36000/375000  (9.6%)  rate=202.0 pos/s  eta=28.0 min  written=32424 skipped=3576
  38000/375000  (10.1%)  rate=201.5 pos/s  eta=27.9 min  written=34242 skipped=3758
  40000/375000  (10.7%)  rate=201.9 pos/s  eta=27.7 min  written=36006 skipped=3994
  41000/375000  (10.9%)  rate=201.8 pos/s  eta=27.6 min  written=36882 skipped=4118
  42000/375000  (11.2%)  rate=201.8 pos/s  eta=27.5 min  written=37793 skipped=4207
  43000/375000  (11.5%)  rate=202.0 pos/s  eta=27.4 min  written=38701 skipped=4299
  46000/375000  (12.3%)  rate=202.4 pos/s  eta=27.1 min  written=41413 skipped=4587
  47000/375000  (12.5%)  rate=202.5 pos/s  eta=27.0 min  written=42312 skipped=4688
  48000/375000  (12.8%)  rate=202.7 pos/s  eta=26.9 min  written=43206 skipped=4794
  50000/375000  (13.3%)  rate=202.8 pos/s  eta=26.7 min  written=45008 skipped=4992
  52000/375000  (13.9%)  rate=202.8 pos/s  eta=26.5 min  written=46809 skipped=5191
  53000/375000  (14.1%)  rate=203.0 pos/s  eta=26.4 min  written=47708 skipped=5292
  54000/375000  (14.4%)  rate=203.2 pos/s  eta=26.3 min  written=48619 skipped=5381
  55000/375000  (14.7%)  rate=203.0 pos/s  eta=26.3 min  written=49508 skipped=5492
  56000/375000  (14.9%)  rate=203.1 pos/s  eta=26.2 min  written=50394 skipped=5606
  59000/375000  (15.7%)  rate=203.2 pos/s  eta=25.9 min  written=53100 skipped=5900
  60000/375000  (16.0%)  rate=203.0 pos/s  eta=25.9 min  written=54010 skipped=5990
  62000/375000  (16.5%)  rate=203.2 pos/s  eta=25.7 min  written=55787 skipped=6213
  63000/375000  (16.8%)  rate=203.2 pos/s  eta=25.6 min  written=56683 skipped=6317
  64000/375000  (17.1%)  rate=203.2 pos/s  eta=25.5 min  written=57582 skipped=6418
  65000/375000  (17.3%)  rate=203.3 pos/s  eta=25.4 min  written=58482 skipped=6518
  66000/375000  (17.6%)  rate=203.4 pos/s  eta=25.3 min  written=59385 skipped=6615
  69000/375000  (18.4%)  rate=203.3 pos/s  eta=25.1 min  written=62097 skipped=6903
  70000/375000  (18.7%)  rate=203.3 pos/s  eta=25.0 min  written=62995 skipped=7005
  71000/375000  (18.9%)  rate=203.4 pos/s  eta=24.9 min  written=63884 skipped=7116
  72000/375000  (19.2%)  rate=203.1 pos/s  eta=24.9 min  written=64800 skipped=7200
  74000/375000  (19.7%)  rate=203.0 pos/s  eta=24.7 min  written=66624 skipped=7376
  75000/375000  (20.0%)  rate=203.0 pos/s  eta=24.6 min  written=67528 skipped=7472
  76000/375000  (20.3%)  rate=203.1 pos/s  eta=24.5 min  written=68408 skipped=7592
  78000/375000  (20.8%)  rate=203.3 pos/s  eta=24.4 min  written=70209 skipped=7791
  79000/375000  (21.1%)  rate=203.1 pos/s  eta=24.3 min  written=71112 skipped=7888
  80000/375000  (21.3%)  rate=203.0 pos/s  eta=24.2 min  written=72020 skipped=7980
  81000/375000  (21.6%)  rate=203.0 pos/s  eta=24.1 min  written=72903 skipped=8097
  82000/375000  (21.9%)  rate=203.2 pos/s  eta=24.0 min  written=73805 skipped=8195
  83000/375000  (22.1%)  rate=203.1 pos/s  eta=24.0 min  written=74696 skipped=8304
  86000/375000  (22.9%)  rate=203.4 pos/s  eta=23.7 min  written=77379 skipped=8621
  87000/375000  (23.2%)  rate=203.3 pos/s  eta=23.6 min  written=78280 skipped=8720
  88000/375000  (23.5%)  rate=203.2 pos/s  eta=23.5 min  written=79171 skipped=8829
  90000/375000  (24.0%)  rate=203.1 pos/s  eta=23.4 min  written=80985 skipped=9015
  92000/375000  (24.5%)  rate=203.1 pos/s  eta=23.2 min  written=82772 skipped=9228
  93000/375000  (24.8%)  rate=203.1 pos/s  eta=23.1 min  written=83660 skipped=9340
  94000/375000  (25.1%)  rate=203.1 pos/s  eta=23.1 min  written=84575 skipped=9425
  96000/375000  (25.6%)  rate=203.1 pos/s  eta=22.9 min  written=86392 skipped=9608
  98000/375000  (26.1%)  rate=203.1 pos/s  eta=22.7 min  written=88193 skipped=9807
  99000/375000  (26.4%)  rate=203.1 pos/s  eta=22.6 min  written=89075 skipped=9925
