input : /root/jass/jobs/results/0014-fetch-master-games/artefacts.src/master-1600.jnnw (4738008 records, processing 592251 from offset 592251, drop_skipped=True)
  1000/592251  (0.2%)  rate=229.8 pos/s  eta=42.9 min  written=994 skipped=6
  2000/592251  (0.3%)  rate=231.3 pos/s  eta=42.5 min  written=1982 skipped=18
  3000/592251  (0.5%)  rate=234.2 pos/s  eta=41.9 min  written=2978 skipped=22
  4000/592251  (0.7%)  rate=236.9 pos/s  eta=41.4 min  written=3969 skipped=31
  8000/592251  (1.4%)  rate=237.3 pos/s  eta=41.0 min  written=7942 skipped=58
  10000/592251  (1.7%)  rate=238.2 pos/s  eta=40.7 min  written=9927 skipped=73
  11000/592251  (1.9%)  rate=236.6 pos/s  eta=40.9 min  written=10923 skipped=77
  13000/592251  (2.2%)  rate=239.5 pos/s  eta=40.3 min  written=12915 skipped=85
  15000/592251  (2.5%)  rate=236.8 pos/s  eta=40.6 min  written=14901 skipped=99
  16000/592251  (2.7%)  rate=237.7 pos/s  eta=40.4 min  written=15894 skipped=106
  17000/592251  (2.9%)  rate=235.6 pos/s  eta=40.7 min  written=16881 skipped=119
  18000/592251  (3.0%)  rate=234.0 pos/s  eta=40.9 min  written=17878 skipped=122
  19000/592251  (3.2%)  rate=233.9 pos/s  eta=40.8 min  written=18871 skipped=129
  20000/592251  (3.4%)  rate=233.8 pos/s  eta=40.8 min  written=19865 skipped=135
  21000/592251  (3.5%)  rate=234.2 pos/s  eta=40.7 min  written=20854 skipped=146
  24000/592251  (4.1%)  rate=233.3 pos/s  eta=40.6 min  written=23834 skipped=166
  25000/592251  (4.2%)  rate=233.2 pos/s  eta=40.5 min  written=24828 skipped=172
  26000/592251  (4.4%)  rate=234.0 pos/s  eta=40.3 min  written=25825 skipped=175
  27000/592251  (4.6%)  rate=234.0 pos/s  eta=40.3 min  written=26819 skipped=181
  28000/592251  (4.7%)  rate=234.4 pos/s  eta=40.1 min  written=27815 skipped=185
  29000/592251  (4.9%)  rate=234.7 pos/s  eta=40.0 min  written=28811 skipped=189
  30000/592251  (5.1%)  rate=234.9 pos/s  eta=39.9 min  written=29809 skipped=191
  31000/592251  (5.2%)  rate=234.8 pos/s  eta=39.8 min  written=30801 skipped=199
  32000/592251  (5.4%)  rate=234.7 pos/s  eta=39.8 min  written=31797 skipped=203
  33000/592251  (5.6%)  rate=233.9 pos/s  eta=39.9 min  written=32797 skipped=203
  34000/592251  (5.7%)  rate=234.3 pos/s  eta=39.7 min  written=33790 skipped=210
  35000/592251  (5.9%)  rate=234.5 pos/s  eta=39.6 min  written=34783 skipped=217
  36000/592251  (6.1%)  rate=233.9 pos/s  eta=39.6 min  written=35777 skipped=223
  37000/592251  (6.2%)  rate=232.1 pos/s  eta=39.9 min  written=36767 skipped=233
  38000/592251  (6.4%)  rate=232.2 pos/s  eta=39.8 min  written=37761 skipped=239
  39000/592251  (6.6%)  rate=232.3 pos/s  eta=39.7 min  written=38759 skipped=241
  40000/592251  (6.8%)  rate=232.1 pos/s  eta=39.7 min  written=39749 skipped=251
  41000/592251  (6.9%)  rate=231.9 pos/s  eta=39.6 min  written=40733 skipped=267
