gen-data-wdl: n=25000 out=/root/jass/jobs/results/0181-selfplay-loop-pilot/artefacts.src/sp-shard-1.jnnw eval_depth=12 play_depth=4 max_plies=200 seed=2 nnue=/root/jass/jobs/results/0181-selfplay-loop-pilot/artefacts.src/champ.pjtw quiet_only=false pv_extract=0
  played 50 games, 1498 / 25000 positions
  played 100 games, 3166 / 25000 positions
  played 150 games, 4595 / 25000 positions
  played 200 games, 6184 / 25000 positions
  played 250 games, 7933 / 25000 positions
  played 300 games, 9405 / 25000 positions
  played 350 games, 10856 / 25000 positions
  played 400 games, 12367 / 25000 positions
  played 450 games, 13863 / 25000 positions
  played 500 games, 15489 / 25000 positions
  played 550 games, 17021 / 25000 positions
  played 600 games, 18732 / 25000 positions
  played 650 games, 20244 / 25000 positions
  played 700 games, 21914 / 25000 positions
  played 750 games, 23494 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0181-selfplay-loop-pilot/artefacts.src/sp-shard-1.jnnw
