gen-data-wdl: n=25000 out=/root/jass/jobs/results/0183-selfdistill-iterate/artefacts.src/sp1-2.jnnw eval_depth=12 play_depth=4 max_plies=200 seed=103 nnue=/root/jass/jobs/results/0183-selfdistill-iterate/artefacts.src/v0.pjtw quiet_only=false pv_extract=0
  played 50 games, 1667 / 25000 positions
  played 100 games, 3269 / 25000 positions
  played 150 games, 4771 / 25000 positions
  played 200 games, 6401 / 25000 positions
  played 250 games, 8080 / 25000 positions
  played 300 games, 9704 / 25000 positions
  played 350 games, 11335 / 25000 positions
  played 400 games, 12979 / 25000 positions
  played 450 games, 14605 / 25000 positions
  played 500 games, 16165 / 25000 positions
  played 550 games, 17697 / 25000 positions
  played 600 games, 19263 / 25000 positions
  played 650 games, 20996 / 25000 positions
  played 700 games, 22563 / 25000 positions
  played 750 games, 24090 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0183-selfdistill-iterate/artefacts.src/sp1-2.jnnw
