gen-data-wdl: n=40000 out=/root/jass/jobs/results/0195-selfplay-wdl-bootstrap/artefacts.src/sp-3.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=13 nnue=/root/jass/jobs/results/0195-selfplay-wdl-bootstrap/artefacts.src/champ.pjtw quiet_only=false pv_extract=0 movetime_ms=50
  played 50 games, 1914 / 40000 positions
  played 100 games, 3807 / 40000 positions
  played 150 games, 5673 / 40000 positions
  played 200 games, 7533 / 40000 positions
  played 250 games, 9449 / 40000 positions
  played 300 games, 11280 / 40000 positions
  played 350 games, 13093 / 40000 positions
  played 400 games, 15009 / 40000 positions
  played 450 games, 16853 / 40000 positions
  played 500 games, 18627 / 40000 positions
  played 550 games, 20592 / 40000 positions
  played 600 games, 22432 / 40000 positions
  played 650 games, 24359 / 40000 positions
  played 700 games, 26210 / 40000 positions
  played 750 games, 28213 / 40000 positions
  played 800 games, 30108 / 40000 positions
  played 850 games, 32130 / 40000 positions
  played 900 games, 34032 / 40000 positions
  played 950 games, 36049 / 40000 positions
  played 1000 games, 37898 / 40000 positions
  played 1050 games, 39682 / 40000 positions
wrote 40000 WDL records to /root/jass/jobs/results/0195-selfplay-wdl-bootstrap/artefacts.src/sp-3.jnnw
