gen-data-wdl: n=125000 out=/root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/sp-7.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=107 nnue=/root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/champ.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1812 / 125000 positions
  played 100 games, 3560 / 125000 positions
  played 150 games, 5498 / 125000 positions
  played 200 games, 7440 / 125000 positions
  played 250 games, 9378 / 125000 positions
  played 300 games, 11233 / 125000 positions
  played 350 games, 13013 / 125000 positions
  played 400 games, 14980 / 125000 positions
  played 450 games, 16812 / 125000 positions
  played 500 games, 18717 / 125000 positions
  played 550 games, 20530 / 125000 positions
  played 600 games, 22505 / 125000 positions
  played 650 games, 24266 / 125000 positions
  played 700 games, 26154 / 125000 positions
  played 750 games, 28131 / 125000 positions
  played 800 games, 30076 / 125000 positions
  played 850 games, 31990 / 125000 positions
  played 900 games, 33751 / 125000 positions
  played 950 games, 35673 / 125000 positions
  played 1000 games, 37650 / 125000 positions
  played 1050 games, 39517 / 125000 positions
  played 1100 games, 41458 / 125000 positions
  played 1150 games, 43225 / 125000 positions
  played 1200 games, 45124 / 125000 positions
  played 1250 games, 46886 / 125000 positions
  played 1300 games, 48812 / 125000 positions
  played 1350 games, 50708 / 125000 positions
  played 1400 games, 52634 / 125000 positions
  played 1450 games, 54614 / 125000 positions
  played 1500 games, 56610 / 125000 positions
  played 1550 games, 58378 / 125000 positions
  played 1600 games, 60231 / 125000 positions
  played 1650 games, 62142 / 125000 positions
  played 1700 games, 64001 / 125000 positions
  played 1750 games, 65985 / 125000 positions
  played 1800 games, 67953 / 125000 positions
  played 1850 games, 69938 / 125000 positions
  played 1900 games, 71910 / 125000 positions
  played 1950 games, 73828 / 125000 positions
  played 2000 games, 75710 / 125000 positions
  played 2050 games, 77572 / 125000 positions
  played 2100 games, 79331 / 125000 positions
  played 2150 games, 81317 / 125000 positions
  played 2200 games, 83249 / 125000 positions
  played 2250 games, 85261 / 125000 positions
  played 2300 games, 86972 / 125000 positions
  played 2350 games, 88854 / 125000 positions
  played 2400 games, 90726 / 125000 positions
  played 2450 games, 92670 / 125000 positions
  played 2500 games, 94519 / 125000 positions
  played 2550 games, 96337 / 125000 positions
  played 2600 games, 98234 / 125000 positions
  played 2650 games, 100018 / 125000 positions
  played 2700 games, 102063 / 125000 positions
  played 2750 games, 104043 / 125000 positions
  played 2800 games, 105919 / 125000 positions
  played 2850 games, 107718 / 125000 positions
  played 2900 games, 109736 / 125000 positions
  played 2950 games, 111595 / 125000 positions
  played 3000 games, 113474 / 125000 positions
  played 3050 games, 115396 / 125000 positions
  played 3100 games, 117343 / 125000 positions
  played 3150 games, 119312 / 125000 positions
  played 3200 games, 121169 / 125000 positions
  played 3250 games, 122980 / 125000 positions
  played 3300 games, 124759 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/0196-selfplay-wdl-1M/artefacts.src/sp-7.jnnw
