gen-data-wdl: n=37500 out=/root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/sp2-4.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=204 nnue=/root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1970 / 37500 positions
  played 100 games, 3713 / 37500 positions
  played 150 games, 5533 / 37500 positions
  played 200 games, 7363 / 37500 positions
  played 250 games, 9211 / 37500 positions
  played 300 games, 11027 / 37500 positions
  played 350 games, 12902 / 37500 positions
  played 400 games, 14784 / 37500 positions
  played 450 games, 16710 / 37500 positions
  played 500 games, 18607 / 37500 positions
  played 550 games, 20449 / 37500 positions
  played 600 games, 22260 / 37500 positions
  played 650 games, 24105 / 37500 positions
  played 700 games, 26019 / 37500 positions
  played 750 games, 27975 / 37500 positions
  played 800 games, 29789 / 37500 positions
  played 850 games, 31592 / 37500 positions
  played 900 games, 33416 / 37500 positions
  played 950 games, 35197 / 37500 positions
  played 1000 games, 37136 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/sp2-4.jnnw
