gen-data-wdl: n=37500 out=/root/jass/jobs/results/0204-wdl-loop-continue-mt30/artefacts.src/sp4-5.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=405 nnue=/root/jass/jobs/results/0203-scan-recipe-iterated-wdl/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1773 / 37500 positions
  played 100 games, 3671 / 37500 positions
  played 150 games, 5484 / 37500 positions
  played 200 games, 7348 / 37500 positions
  played 250 games, 9237 / 37500 positions
  played 300 games, 10977 / 37500 positions
  played 350 games, 12721 / 37500 positions
  played 400 games, 14559 / 37500 positions
  played 450 games, 16365 / 37500 positions
  played 500 games, 18338 / 37500 positions
  played 550 games, 20079 / 37500 positions
  played 600 games, 21986 / 37500 positions
  played 650 games, 23713 / 37500 positions
  played 700 games, 25639 / 37500 positions
  played 750 games, 27512 / 37500 positions
  played 800 games, 29214 / 37500 positions
  played 850 games, 31109 / 37500 positions
  played 900 games, 32815 / 37500 positions
  played 950 games, 34694 / 37500 positions
  played 1000 games, 36584 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/0204-wdl-loop-continue-mt30/artefacts.src/sp4-5.jnnw
