gen-data-wdl: n=37500 out=/root/jass/jobs/results/0204-wdl-loop-continue-mt30/artefacts.src/sp7-2.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=702 nnue=/root/jass/jobs/results/0204-wdl-loop-continue-mt30/artefacts.src/gen6.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1758 / 37500 positions
  played 100 games, 3585 / 37500 positions
  played 150 games, 5427 / 37500 positions
  played 200 games, 7213 / 37500 positions
  played 250 games, 8974 / 37500 positions
  played 300 games, 10815 / 37500 positions
  played 350 games, 12742 / 37500 positions
  played 400 games, 14599 / 37500 positions
  played 450 games, 16416 / 37500 positions
  played 500 games, 18225 / 37500 positions
  played 550 games, 19910 / 37500 positions
  played 600 games, 21722 / 37500 positions
  played 650 games, 23554 / 37500 positions
  played 700 games, 25448 / 37500 positions
  played 750 games, 27334 / 37500 positions
  played 800 games, 29109 / 37500 positions
  played 850 games, 30817 / 37500 positions
  played 900 games, 32622 / 37500 positions
  played 950 games, 34482 / 37500 positions
  played 1000 games, 36396 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/0204-wdl-loop-continue-mt30/artefacts.src/sp7-2.jnnw
