gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0205b-wdl-loop-proxy/artefacts.src/sp4-4.jnnw eval_depth=4 play_depth=64 max_plies=200 seed=404 nnue=/root/jass/jobs/results/ccx33-0205b-wdl-loop-proxy/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1753 / 37500 positions
  played 100 games, 3584 / 37500 positions
  played 150 games, 5415 / 37500 positions
  played 200 games, 7289 / 37500 positions
  played 250 games, 9029 / 37500 positions
  played 300 games, 10855 / 37500 positions
  played 350 games, 12743 / 37500 positions
  played 400 games, 14539 / 37500 positions
  played 450 games, 16437 / 37500 positions
  played 500 games, 18261 / 37500 positions
  played 550 games, 20010 / 37500 positions
  played 600 games, 21774 / 37500 positions
  played 650 games, 23564 / 37500 positions
  played 700 games, 25300 / 37500 positions
  played 750 games, 27126 / 37500 positions
  played 800 games, 28901 / 37500 positions
  played 850 games, 30798 / 37500 positions
  played 900 games, 32619 / 37500 positions
  played 950 games, 34437 / 37500 positions
  played 1000 games, 36298 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0205b-wdl-loop-proxy/artefacts.src/sp4-4.jnnw
