gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0210-cumulative-loop/artefacts.src/sp5-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=27191 nnue=/root/jass/jobs/results/ccx33-0210-cumulative-loop/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1587 / 37500 positions
  played 100 games, 3121 / 37500 positions
  played 150 games, 4662 / 37500 positions
  played 200 games, 6295 / 37500 positions
  played 250 games, 7875 / 37500 positions
  played 300 games, 9393 / 37500 positions
  played 350 games, 11018 / 37500 positions
  played 400 games, 12515 / 37500 positions
  played 450 games, 14032 / 37500 positions
  played 500 games, 15616 / 37500 positions
  played 550 games, 17066 / 37500 positions
  played 600 games, 18616 / 37500 positions
  played 650 games, 20204 / 37500 positions
  played 700 games, 21853 / 37500 positions
  played 750 games, 23377 / 37500 positions
  played 800 games, 24901 / 37500 positions
  played 850 games, 26570 / 37500 positions
  played 900 games, 28186 / 37500 positions
  played 950 games, 29804 / 37500 positions
  played 1000 games, 31331 / 37500 positions
  played 1050 games, 32861 / 37500 positions
  played 1100 games, 34358 / 37500 positions
  played 1150 games, 35977 / 37500 positions
  played 1200 games, 37432 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0210-cumulative-loop/artefacts.src/sp5-2.jnnw
