gen-data-wdl: n=125000 out=/root/jass/jobs/results/ccx33-0212-genpar-seed/artefacts.src/sh-3.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=300026 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1571 / 125000 positions
  played 100 games, 3058 / 125000 positions
  played 150 games, 4615 / 125000 positions
  played 200 games, 6215 / 125000 positions
  played 250 games, 7916 / 125000 positions
  played 300 games, 9514 / 125000 positions
  played 350 games, 11174 / 125000 positions
  played 400 games, 12751 / 125000 positions
  played 450 games, 14338 / 125000 positions
  played 500 games, 16007 / 125000 positions
  played 550 games, 17513 / 125000 positions
  played 600 games, 19022 / 125000 positions
  played 650 games, 20518 / 125000 positions
  played 700 games, 22101 / 125000 positions
  played 750 games, 23705 / 125000 positions
  played 800 games, 25334 / 125000 positions
  played 850 games, 26878 / 125000 positions
  played 900 games, 28363 / 125000 positions
  played 950 games, 29928 / 125000 positions
  played 1000 games, 31488 / 125000 positions
  played 1050 games, 33105 / 125000 positions
  played 1100 games, 34668 / 125000 positions
  played 1150 games, 36324 / 125000 positions
  played 1200 games, 38007 / 125000 positions
  played 1250 games, 39587 / 125000 positions
  played 1300 games, 41054 / 125000 positions
  played 1350 games, 42601 / 125000 positions
  played 1400 games, 44241 / 125000 positions
  played 1450 games, 45803 / 125000 positions
  played 1500 games, 47372 / 125000 positions
  played 1550 games, 49063 / 125000 positions
  played 1600 games, 50675 / 125000 positions
  played 1650 games, 52192 / 125000 positions
  played 1700 games, 53814 / 125000 positions
  played 1750 games, 55425 / 125000 positions
  played 1800 games, 57119 / 125000 positions
  played 1850 games, 58776 / 125000 positions
  played 1900 games, 60427 / 125000 positions
  played 1950 games, 62069 / 125000 positions
  played 2000 games, 63591 / 125000 positions
  played 2050 games, 65247 / 125000 positions
  played 2100 games, 66943 / 125000 positions
  played 2150 games, 68581 / 125000 positions
  played 2200 games, 70210 / 125000 positions
  played 2250 games, 71678 / 125000 positions
  played 2300 games, 73253 / 125000 positions
  played 2350 games, 74769 / 125000 positions
  played 2400 games, 76340 / 125000 positions
  played 2450 games, 77791 / 125000 positions
  played 2500 games, 79435 / 125000 positions
  played 2550 games, 80932 / 125000 positions
  played 2600 games, 82451 / 125000 positions
  played 2650 games, 84000 / 125000 positions
  played 2700 games, 85731 / 125000 positions
  played 2750 games, 87298 / 125000 positions
  played 2800 games, 88928 / 125000 positions
  played 2850 games, 90467 / 125000 positions
  played 2900 games, 91973 / 125000 positions
  played 2950 games, 93631 / 125000 positions
  played 3000 games, 95314 / 125000 positions
  played 3050 games, 96815 / 125000 positions
  played 3100 games, 98381 / 125000 positions
  played 3150 games, 99968 / 125000 positions
  played 3200 games, 101535 / 125000 positions
  played 3250 games, 103100 / 125000 positions
  played 3300 games, 104539 / 125000 positions
  played 3350 games, 106150 / 125000 positions
  played 3400 games, 107741 / 125000 positions
  played 3450 games, 109268 / 125000 positions
  played 3500 games, 110906 / 125000 positions
  played 3550 games, 112416 / 125000 positions
  played 3600 games, 113989 / 125000 positions
  played 3650 games, 115512 / 125000 positions
  played 3700 games, 117017 / 125000 positions
  played 3750 games, 118586 / 125000 positions
  played 3800 games, 120220 / 125000 positions
  played 3850 games, 121737 / 125000 positions
  played 3900 games, 123360 / 125000 positions
  played 3950 games, 124820 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/ccx33-0212-genpar-seed/artefacts.src/sh-3.jnnw
