gen-data-wdl: n=18750 out=/root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/sp0-7.jnnw eval_depth=10 play_depth=8 max_plies=200 seed=20216 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=60
  played 50 games, 1683 / 18750 positions
  played 100 games, 3344 / 18750 positions
  played 150 games, 5154 / 18750 positions
  played 200 games, 6993 / 18750 positions
  played 250 games, 8773 / 18750 positions
  played 300 games, 10476 / 18750 positions
  played 350 games, 12098 / 18750 positions
  played 400 games, 13703 / 18750 positions
  played 450 games, 15434 / 18750 positions
  played 500 games, 17248 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/sp0-7.jnnw
