gen-data-wdl: n=18750 out=/root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/sp2-7.jnnw eval_depth=10 play_depth=8 max_plies=200 seed=5794 nnue=/root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=60
  played 50 games, 1708 / 18750 positions
  played 100 games, 3308 / 18750 positions
  played 150 games, 5009 / 18750 positions
  played 200 games, 6884 / 18750 positions
  played 250 games, 8686 / 18750 positions
  played 300 games, 10447 / 18750 positions
  played 350 games, 12157 / 18750 positions
  played 400 games, 13825 / 18750 positions
  played 450 games, 15611 / 18750 positions
  played 500 games, 17345 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/ccx33-0215-depth-mt60/artefacts.src/sp2-7.jnnw
