gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp0-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=24004 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1508 / 25000 positions
  played 100 games, 3097 / 25000 positions
  played 150 games, 4573 / 25000 positions
  played 200 games, 6204 / 25000 positions
  played 250 games, 7814 / 25000 positions
  played 300 games, 9525 / 25000 positions
  played 350 games, 11043 / 25000 positions
  played 400 games, 12465 / 25000 positions
  played 450 games, 14019 / 25000 positions
  played 500 games, 15379 / 25000 positions
  played 550 games, 16887 / 25000 positions
  played 600 games, 18626 / 25000 positions
  played 650 games, 20302 / 25000 positions
  played 700 games, 21918 / 25000 positions
  played 750 games, 23564 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp0-1.jnnw
