gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp3-7.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=24914 nnue=/root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1609 / 37500 positions
  played 100 games, 3194 / 37500 positions
  played 150 games, 4772 / 37500 positions
  played 200 games, 6348 / 37500 positions
  played 250 games, 7960 / 37500 positions
  played 300 games, 9445 / 37500 positions
  played 350 games, 11061 / 37500 positions
  played 400 games, 12453 / 37500 positions
  played 450 games, 14067 / 37500 positions
  played 500 games, 15632 / 37500 positions
  played 550 games, 17310 / 37500 positions
  played 600 games, 18913 / 37500 positions
  played 650 games, 20511 / 37500 positions
  played 700 games, 22177 / 37500 positions
  played 750 games, 23806 / 37500 positions
  played 800 games, 25364 / 37500 positions
  played 850 games, 26828 / 37500 positions
  played 900 games, 28317 / 37500 positions
  played 950 games, 29880 / 37500 positions
  played 1000 games, 31377 / 37500 positions
  played 1050 games, 32922 / 37500 positions
  played 1100 games, 34525 / 37500 positions
  played 1150 games, 36002 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0218-elo-loop-depth4/artefacts.src/sp3-7.jnnw
