gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp0-4.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=20212 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1482 / 25000 positions
  played 100 games, 2930 / 25000 positions
  played 150 games, 4519 / 25000 positions
  played 200 games, 6181 / 25000 positions
  played 250 games, 7817 / 25000 positions
  played 300 games, 9360 / 25000 positions
  played 350 games, 10887 / 25000 positions
  played 400 games, 12326 / 25000 positions
  played 450 games, 13843 / 25000 positions
  played 500 games, 15482 / 25000 positions
  played 550 games, 17092 / 25000 positions
  played 600 games, 18728 / 25000 positions
  played 650 games, 20232 / 25000 positions
  played 700 games, 21908 / 25000 positions
  played 750 games, 23467 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp0-4.jnnw
