gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp6-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=15475 nnue=/root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/gen5.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1392 / 37500 positions
  played 100 games, 2989 / 37500 positions
  played 150 games, 4550 / 37500 positions
  played 200 games, 6075 / 37500 positions
  played 250 games, 7703 / 37500 positions
  played 300 games, 9288 / 37500 positions
  played 350 games, 10880 / 37500 positions
  played 400 games, 12351 / 37500 positions
  played 450 games, 13861 / 37500 positions
  played 500 games, 15427 / 37500 positions
  played 550 games, 16900 / 37500 positions
  played 600 games, 18452 / 37500 positions
  played 650 games, 19997 / 37500 positions
  played 700 games, 21535 / 37500 positions
  played 750 games, 23178 / 37500 positions
  played 800 games, 24761 / 37500 positions
  played 850 games, 26349 / 37500 positions
  played 900 games, 27783 / 37500 positions
  played 950 games, 29311 / 37500 positions
  played 1000 games, 30865 / 37500 positions
  played 1050 games, 32500 / 37500 positions
  played 1100 games, 34043 / 37500 positions
  played 1150 games, 35639 / 37500 positions
  played 1200 games, 37184 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp6-1.jnnw
