gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/sp0-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=7551 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1524 / 25000 positions
  played 100 games, 3137 / 25000 positions
  played 150 games, 4696 / 25000 positions
  played 200 games, 6361 / 25000 positions
  played 250 games, 7972 / 25000 positions
  played 300 games, 9593 / 25000 positions
  played 350 games, 11197 / 25000 positions
  played 400 games, 12740 / 25000 positions
  played 450 games, 14259 / 25000 positions
  played 500 games, 15784 / 25000 positions
  played 550 games, 17283 / 25000 positions
  played 600 games, 18854 / 25000 positions
  played 650 games, 20477 / 25000 positions
  played 700 games, 22046 / 25000 positions
  played 750 games, 23650 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/sp0-1.jnnw
