gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/sp3-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=15204 nnue=/root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1646 / 37500 positions
  played 100 games, 3172 / 37500 positions
  played 150 games, 4659 / 37500 positions
  played 200 games, 6243 / 37500 positions
  played 250 games, 7865 / 37500 positions
  played 300 games, 9389 / 37500 positions
  played 350 games, 11002 / 37500 positions
  played 400 games, 12576 / 37500 positions
  played 450 games, 14100 / 37500 positions
  played 500 games, 15565 / 37500 positions
  played 550 games, 17106 / 37500 positions
  played 600 games, 18732 / 37500 positions
  played 650 games, 20264 / 37500 positions
  played 700 games, 21788 / 37500 positions
  played 750 games, 23297 / 37500 positions
  played 800 games, 24858 / 37500 positions
  played 850 games, 26474 / 37500 positions
  played 900 games, 28063 / 37500 positions
  played 950 games, 29653 / 37500 positions
  played 1000 games, 31180 / 37500 positions
  played 1050 games, 32677 / 37500 positions
  played 1100 games, 34254 / 37500 positions
  played 1150 games, 35830 / 37500 positions
  played 1200 games, 37378 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0223-transfold-loop/artefacts.src/sp3-1.jnnw
