gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp0-6.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=13252 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1615 / 25000 positions
  played 100 games, 3186 / 25000 positions
  played 150 games, 4806 / 25000 positions
  played 200 games, 6351 / 25000 positions
  played 250 games, 8110 / 25000 positions
  played 300 games, 9526 / 25000 positions
  played 350 games, 11201 / 25000 positions
  played 400 games, 12803 / 25000 positions
  played 450 games, 14383 / 25000 positions
  played 500 games, 15918 / 25000 positions
  played 550 games, 17592 / 25000 positions
  played 600 games, 19242 / 25000 positions
  played 650 games, 20756 / 25000 positions
  played 700 games, 22307 / 25000 positions
  played 750 games, 23803 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp0-6.jnnw
