gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp8-4.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=19889 nnue=/root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/gen7.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1567 / 37500 positions
  played 100 games, 3110 / 37500 positions
  played 150 games, 4647 / 37500 positions
  played 200 games, 6172 / 37500 positions
  played 250 games, 7869 / 37500 positions
  played 300 games, 9426 / 37500 positions
  played 350 games, 10979 / 37500 positions
  played 400 games, 12511 / 37500 positions
  played 450 games, 14157 / 37500 positions
  played 500 games, 15641 / 37500 positions
  played 550 games, 17184 / 37500 positions
  played 600 games, 18895 / 37500 positions
  played 650 games, 20606 / 37500 positions
  played 700 games, 22180 / 37500 positions
  played 750 games, 23844 / 37500 positions
  played 800 games, 25456 / 37500 positions
  played 850 games, 27066 / 37500 positions
  played 900 games, 28611 / 37500 positions
  played 950 games, 30224 / 37500 positions
  played 1000 games, 31832 / 37500 positions
  played 1050 games, 33369 / 37500 positions
  played 1100 games, 34965 / 37500 positions
  played 1150 games, 36490 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0227-fullfold-loop/artefacts.src/sp8-4.jnnw
