gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/sp7-8.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=8122 nnue=/root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/gen6.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1552 / 37500 positions
  played 100 games, 2946 / 37500 positions
  played 150 games, 4441 / 37500 positions
  played 200 games, 6040 / 37500 positions
  played 250 games, 7553 / 37500 positions
  played 300 games, 9078 / 37500 positions
  played 350 games, 10534 / 37500 positions
  played 400 games, 12088 / 37500 positions
  played 450 games, 13636 / 37500 positions
  played 500 games, 15274 / 37500 positions
  played 550 games, 16800 / 37500 positions
  played 600 games, 18318 / 37500 positions
  played 650 games, 19961 / 37500 positions
  played 700 games, 21510 / 37500 positions
  played 750 games, 23136 / 37500 positions
  played 800 games, 24668 / 37500 positions
  played 850 games, 26226 / 37500 positions
  played 900 games, 27703 / 37500 positions
  played 950 games, 29263 / 37500 positions
  played 1000 games, 30787 / 37500 positions
  played 1050 games, 32449 / 37500 positions
  played 1100 games, 33994 / 37500 positions
  played 1150 games, 35494 / 37500 positions
  played 1200 games, 37009 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/sp7-8.jnnw
