gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp0-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=28772 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1625 / 25000 positions
  played 100 games, 3204 / 25000 positions
  played 150 games, 4798 / 25000 positions
  played 200 games, 6472 / 25000 positions
  played 250 games, 8152 / 25000 positions
  played 300 games, 9796 / 25000 positions
  played 350 games, 11370 / 25000 positions
  played 400 games, 13070 / 25000 positions
  played 450 games, 14591 / 25000 positions
  played 500 games, 16113 / 25000 positions
  played 550 games, 17649 / 25000 positions
  played 600 games, 19238 / 25000 positions
  played 650 games, 20834 / 25000 positions
  played 700 games, 22558 / 25000 positions
  played 750 games, 24213 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp0-1.jnnw
