gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp1-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=2782 nnue=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1637 / 37500 positions
  played 100 games, 3173 / 37500 positions
  played 150 games, 4621 / 37500 positions
  played 200 games, 6276 / 37500 positions
  played 250 games, 7885 / 37500 positions
  played 300 games, 9532 / 37500 positions
  played 350 games, 11154 / 37500 positions
  played 400 games, 12752 / 37500 positions
  played 450 games, 14305 / 37500 positions
  played 500 games, 15791 / 37500 positions
  played 550 games, 17448 / 37500 positions
  played 600 games, 19046 / 37500 positions
  played 650 games, 20569 / 37500 positions
  played 700 games, 22037 / 37500 positions
  played 750 games, 23665 / 37500 positions
  played 800 games, 25167 / 37500 positions
  played 850 games, 26614 / 37500 positions
  played 900 games, 28238 / 37500 positions
  played 950 games, 29829 / 37500 positions
  played 1000 games, 31403 / 37500 positions
  played 1050 games, 32931 / 37500 positions
  played 1100 games, 34500 / 37500 positions
  played 1150 games, 36121 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp1-2.jnnw
