gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp0-6.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=32172 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1640 / 37500 positions
  played 100 games, 3199 / 37500 positions
  played 150 games, 4819 / 37500 positions
  played 200 games, 6386 / 37500 positions
  played 250 games, 7964 / 37500 positions
  played 300 games, 9541 / 37500 positions
  played 350 games, 11196 / 37500 positions
  played 400 games, 12769 / 37500 positions
  played 450 games, 14338 / 37500 positions
  played 500 games, 15917 / 37500 positions
  played 550 games, 17580 / 37500 positions
  played 600 games, 19122 / 37500 positions
  played 650 games, 20761 / 37500 positions
  played 700 games, 22382 / 37500 positions
  played 750 games, 23963 / 37500 positions
  played 800 games, 25472 / 37500 positions
  played 850 games, 27038 / 37500 positions
  played 900 games, 28607 / 37500 positions
  played 950 games, 30281 / 37500 positions
  played 1000 games, 31835 / 37500 positions
  played 1050 games, 33370 / 37500 positions
  played 1100 games, 34960 / 37500 positions
  played 1150 games, 36569 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp0-6.jnnw
