gen-data-wdl: n=75000 out=/root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp3-8.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=21904 nnue=/root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1602 / 75000 positions
  played 100 games, 3316 / 75000 positions
  played 150 games, 4877 / 75000 positions
  played 200 games, 6498 / 75000 positions
  played 250 games, 8053 / 75000 positions
  played 300 games, 9725 / 75000 positions
  played 350 games, 11458 / 75000 positions
  played 400 games, 13197 / 75000 positions
  played 450 games, 14885 / 75000 positions
  played 500 games, 16463 / 75000 positions
  played 550 games, 18057 / 75000 positions
  played 600 games, 19608 / 75000 positions
  played 650 games, 21182 / 75000 positions
  played 700 games, 22772 / 75000 positions
  played 750 games, 24463 / 75000 positions
  played 800 games, 26083 / 75000 positions
  played 850 games, 27714 / 75000 positions
  played 900 games, 29288 / 75000 positions
  played 950 games, 30949 / 75000 positions
  played 1000 games, 32556 / 75000 positions
  played 1050 games, 34118 / 75000 positions
  played 1100 games, 35706 / 75000 positions
  played 1150 games, 37321 / 75000 positions
  played 1200 games, 38966 / 75000 positions
  played 1250 games, 40641 / 75000 positions
  played 1300 games, 42427 / 75000 positions
  played 1350 games, 44046 / 75000 positions
  played 1400 games, 45627 / 75000 positions
  played 1450 games, 47203 / 75000 positions
  played 1500 games, 48876 / 75000 positions
  played 1550 games, 50616 / 75000 positions
  played 1600 games, 52177 / 75000 positions
  played 1650 games, 53822 / 75000 positions
  played 1700 games, 55363 / 75000 positions
  played 1750 games, 57016 / 75000 positions
  played 1800 games, 58605 / 75000 positions
  played 1850 games, 60201 / 75000 positions
  played 1900 games, 61911 / 75000 positions
  played 1950 games, 63628 / 75000 positions
  played 2000 games, 65312 / 75000 positions
  played 2050 games, 66839 / 75000 positions
  played 2100 games, 68418 / 75000 positions
  played 2150 games, 70132 / 75000 positions
  played 2200 games, 71747 / 75000 positions
  played 2250 games, 73486 / 75000 positions
wrote 75000 WDL records to /root/jass/jobs/results/ccx33-0276-selfplay-features/artefacts.src/sp3-8.jnnw
