gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp0-6.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=32173 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1405 / 37500 positions
  played 100 games, 2745 / 37500 positions
  played 150 games, 4134 / 37500 positions
  played 200 games, 5468 / 37500 positions
  played 250 games, 6833 / 37500 positions
  played 300 games, 8120 / 37500 positions
  played 350 games, 9474 / 37500 positions
  played 400 games, 10820 / 37500 positions
  played 450 games, 12230 / 37500 positions
  played 500 games, 13544 / 37500 positions
  played 550 games, 14958 / 37500 positions
  played 600 games, 16339 / 37500 positions
  played 650 games, 17642 / 37500 positions
  played 700 games, 18939 / 37500 positions
  played 750 games, 20314 / 37500 positions
  played 800 games, 21700 / 37500 positions
  played 850 games, 22993 / 37500 positions
  played 900 games, 24305 / 37500 positions
  played 950 games, 25610 / 37500 positions
  played 1000 games, 26943 / 37500 positions
  played 1050 games, 28363 / 37500 positions
  played 1100 games, 29691 / 37500 positions
  played 1150 games, 31037 / 37500 positions
  played 1200 games, 32404 / 37500 positions
  played 1250 games, 33814 / 37500 positions
  played 1300 games, 35111 / 37500 positions
  played 1350 games, 36474 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp0-6.jnnw
