gen-data-wdl: n=75000 out=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp4-7.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=11494 nnue=/root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1364 / 75000 positions
  played 100 games, 2746 / 75000 positions
  played 150 games, 4115 / 75000 positions
  played 200 games, 5464 / 75000 positions
  played 250 games, 6846 / 75000 positions
  played 300 games, 8235 / 75000 positions
  played 350 games, 9674 / 75000 positions
  played 400 games, 11050 / 75000 positions
  played 450 games, 12404 / 75000 positions
  played 500 games, 13732 / 75000 positions
  played 550 games, 15136 / 75000 positions
  played 600 games, 16569 / 75000 positions
  played 650 games, 17948 / 75000 positions
  played 700 games, 19260 / 75000 positions
  played 750 games, 20606 / 75000 positions
  played 800 games, 21939 / 75000 positions
  played 850 games, 23312 / 75000 positions
  played 900 games, 24678 / 75000 positions
  played 950 games, 26075 / 75000 positions
  played 1000 games, 27448 / 75000 positions
  played 1050 games, 28763 / 75000 positions
  played 1100 games, 30191 / 75000 positions
  played 1150 games, 31587 / 75000 positions
  played 1200 games, 32886 / 75000 positions
  played 1250 games, 34333 / 75000 positions
  played 1300 games, 35701 / 75000 positions
  played 1350 games, 37077 / 75000 positions
  played 1400 games, 38433 / 75000 positions
  played 1450 games, 39869 / 75000 positions
  played 1500 games, 41278 / 75000 positions
  played 1550 games, 42634 / 75000 positions
  played 1600 games, 44021 / 75000 positions
  played 1650 games, 45386 / 75000 positions
  played 1700 games, 46756 / 75000 positions
  played 1750 games, 48245 / 75000 positions
  played 1800 games, 49552 / 75000 positions
  played 1850 games, 50963 / 75000 positions
  played 1900 games, 52354 / 75000 positions
  played 1950 games, 53834 / 75000 positions
  played 2000 games, 55160 / 75000 positions
  played 2050 games, 56520 / 75000 positions
  played 2100 games, 57908 / 75000 positions
  played 2150 games, 59339 / 75000 positions
  played 2200 games, 60706 / 75000 positions
  played 2250 games, 62078 / 75000 positions
  played 2300 games, 63463 / 75000 positions
  played 2350 games, 64814 / 75000 positions
  played 2400 games, 66233 / 75000 positions
  played 2450 games, 67577 / 75000 positions
  played 2500 games, 68978 / 75000 positions
  played 2550 games, 70338 / 75000 positions
  played 2600 games, 71629 / 75000 positions
  played 2650 games, 73024 / 75000 positions
  played 2700 games, 74471 / 75000 positions
wrote 75000 WDL records to /root/jass/jobs/results/ccx33-0287-selfplay-egdb-perfect/artefacts.src/sp4-7.jnnw
