gen-data-wdl: n=62500 out=/root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/dist-1.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=5184 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1384 / 62500 positions
  played 100 games, 2744 / 62500 positions
  played 150 games, 4042 / 62500 positions
  played 200 games, 5309 / 62500 positions
  played 250 games, 6646 / 62500 positions
  played 300 games, 7969 / 62500 positions
  played 350 games, 9280 / 62500 positions
  played 400 games, 10688 / 62500 positions
  played 450 games, 12029 / 62500 positions
  played 500 games, 13390 / 62500 positions
  played 550 games, 14742 / 62500 positions
  played 600 games, 16105 / 62500 positions
  played 650 games, 17494 / 62500 positions
  played 700 games, 18834 / 62500 positions
  played 750 games, 20211 / 62500 positions
  played 800 games, 21661 / 62500 positions
  played 850 games, 23040 / 62500 positions
  played 900 games, 24377 / 62500 positions
  played 950 games, 25690 / 62500 positions
  played 1000 games, 27072 / 62500 positions
  played 1050 games, 28456 / 62500 positions
  played 1100 games, 29777 / 62500 positions
  played 1150 games, 31131 / 62500 positions
  played 1200 games, 32472 / 62500 positions
  played 1250 games, 33808 / 62500 positions
  played 1300 games, 35130 / 62500 positions
  played 1350 games, 36521 / 62500 positions
  played 1400 games, 37900 / 62500 positions
  played 1450 games, 39245 / 62500 positions
  played 1500 games, 40537 / 62500 positions
  played 1550 games, 41873 / 62500 positions
  played 1600 games, 43248 / 62500 positions
  played 1650 games, 44647 / 62500 positions
  played 1700 games, 45989 / 62500 positions
  played 1750 games, 47351 / 62500 positions
  played 1800 games, 48699 / 62500 positions
  played 1850 games, 50009 / 62500 positions
  played 1900 games, 51389 / 62500 positions
  played 1950 games, 52815 / 62500 positions
  played 2000 games, 54255 / 62500 positions
  played 2050 games, 55619 / 62500 positions
  played 2100 games, 56965 / 62500 positions
  played 2150 games, 58296 / 62500 positions
  played 2200 games, 59668 / 62500 positions
  played 2250 games, 60977 / 62500 positions
  played 2300 games, 62341 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/dist-1.jnnw
