gen-data-wdl: n=62500 out=/root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/flat-2.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=10514 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1356 / 62500 positions
  played 100 games, 2703 / 62500 positions
  played 150 games, 4061 / 62500 positions
  played 200 games, 5418 / 62500 positions
  played 250 games, 6813 / 62500 positions
  played 300 games, 8193 / 62500 positions
  played 350 games, 9545 / 62500 positions
  played 400 games, 10847 / 62500 positions
  played 450 games, 12160 / 62500 positions
  played 500 games, 13584 / 62500 positions
  played 550 games, 14934 / 62500 positions
  played 600 games, 16294 / 62500 positions
  played 650 games, 17674 / 62500 positions
  played 700 games, 19035 / 62500 positions
  played 750 games, 20375 / 62500 positions
  played 800 games, 21772 / 62500 positions
  played 850 games, 23141 / 62500 positions
  played 900 games, 24496 / 62500 positions
  played 950 games, 25869 / 62500 positions
  played 1000 games, 27233 / 62500 positions
  played 1050 games, 28579 / 62500 positions
  played 1100 games, 29846 / 62500 positions
  played 1150 games, 31196 / 62500 positions
  played 1200 games, 32551 / 62500 positions
  played 1250 games, 33875 / 62500 positions
  played 1300 games, 35199 / 62500 positions
  played 1350 games, 36519 / 62500 positions
  played 1400 games, 37962 / 62500 positions
  played 1450 games, 39275 / 62500 positions
  played 1500 games, 40574 / 62500 positions
  played 1550 games, 41998 / 62500 positions
  played 1600 games, 43359 / 62500 positions
  played 1650 games, 44627 / 62500 positions
  played 1700 games, 45915 / 62500 positions
  played 1750 games, 47233 / 62500 positions
  played 1800 games, 48631 / 62500 positions
  played 1850 games, 49999 / 62500 positions
  played 1900 games, 51367 / 62500 positions
  played 1950 games, 52673 / 62500 positions
  played 2000 games, 53973 / 62500 positions
  played 2050 games, 55314 / 62500 positions
  played 2100 games, 56646 / 62500 positions
  played 2150 games, 57918 / 62500 positions
  played 2200 games, 59253 / 62500 positions
  played 2250 games, 60650 / 62500 positions
  played 2300 games, 62048 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/ccx33-0295-tb-conversion-ab/artefacts.src/flat-2.jnnw
