gen-scan-book: budget=40000 leaf_depth=14 drop_margin=50 max_ply=24 threads=8
  expansions=100 nodes=612 root_score=-5
  expansions=200 nodes=1262 root_score=4
  expansions=300 nodes=1900 root_score=4
  expansions=400 nodes=2470 root_score=6
  expansions=500 nodes=3094 root_score=3
  expansions=600 nodes=3813 root_score=0
  expansions=700 nodes=4381 root_score=0
  expansions=800 nodes=4888 root_score=0
  expansions=900 nodes=5455 root_score=-2
  expansions=1000 nodes=6041 root_score=-2
  expansions=1100 nodes=6684 root_score=-2
  expansions=1200 nodes=7297 root_score=-2
  expansions=1300 nodes=7985 root_score=-2
  expansions=1400 nodes=8574 root_score=-2
  expansions=1500 nodes=9163 root_score=-2
  expansions=1600 nodes=9726 root_score=-2
  expansions=1700 nodes=10311 root_score=-3
  expansions=1800 nodes=10849 root_score=-3
  expansions=1900 nodes=11381 root_score=-2
  expansions=2000 nodes=11877 root_score=-2
  expansions=2100 nodes=12424 root_score=-2
  expansions=2200 nodes=12978 root_score=-2
  expansions=2300 nodes=13544 root_score=-2
  expansions=2400 nodes=14176 root_score=-1
  expansions=2500 nodes=14732 root_score=-1
  expansions=2600 nodes=15304 root_score=-1
  expansions=2700 nodes=15933 root_score=-1
  expansions=2800 nodes=16569 root_score=-1
  expansions=2900 nodes=17276 root_score=-1
  expansions=3000 nodes=17898 root_score=-1
  expansions=3100 nodes=18538 root_score=-1
  expansions=3200 nodes=19182 root_score=0
  expansions=3300 nodes=19735 root_score=-1
  expansions=3400 nodes=20311 root_score=-1
  expansions=3500 nodes=20859 root_score=-1
  expansions=3600 nodes=21418 root_score=-1
  expansions=3700 nodes=21965 root_score=0
  expansions=3800 nodes=22528 root_score=0
  expansions=3900 nodes=23082 root_score=0
  expansions=4000 nodes=23605 root_score=0
  expansions=4100 nodes=24163 root_score=0
  expansions=4200 nodes=24652 root_score=0
  expansions=4300 nodes=25287 root_score=0
  expansions=4400 nodes=25824 root_score=2
  expansions=4500 nodes=26420 root_score=2
  expansions=4600 nodes=27088 root_score=1
  expansions=4700 nodes=27674 root_score=1
  expansions=4800 nodes=28233 root_score=1
  expansions=4900 nodes=28878 root_score=1
  expansions=5000 nodes=29536 root_score=1
  expansions=5100 nodes=30126 root_score=1
  expansions=5200 nodes=30732 root_score=1
  expansions=5300 nodes=31366 root_score=2
  expansions=5400 nodes=31975 root_score=2
  expansions=5500 nodes=32534 root_score=2
  expansions=5600 nodes=33074 root_score=2
  expansions=5700 nodes=33590 root_score=2
  expansions=5800 nodes=34157 root_score=2
  expansions=5900 nodes=34699 root_score=2
  expansions=6000 nodes=35142 root_score=2
  expansions=6100 nodes=35739 root_score=3
  expansions=6200 nodes=36297 root_score=3
  expansions=6300 nodes=36891 root_score=3
  expansions=6400 nodes=37404 root_score=3
  expansions=6500 nodes=37927 root_score=2
  expansions=6600 nodes=38478 root_score=2
  expansions=6700 nodes=39080 root_score=1
  expansions=6800 nodes=39628 root_score=1
wrote 40005 positions to /root/jass/jobs/results/ccx33-0307-scan-book-v1/artefacts.src/scan-book-v1.jbk2 (expansions=6863, max_ply_reached=10, root_score=1)
