gen-data-wdl: n=187500 out=/root/jass/jobs/results/ccx33-0313-endgame-data-gen/artefacts.src/self-7.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=207326 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1298 / 187500 positions
  played 100 games, 2651 / 187500 positions
  played 150 games, 3977 / 187500 positions
  played 200 games, 5310 / 187500 positions
  played 250 games, 6578 / 187500 positions
  played 300 games, 7858 / 187500 positions
  played 350 games, 9218 / 187500 positions
  played 400 games, 10512 / 187500 positions
  played 450 games, 11779 / 187500 positions
  played 500 games, 13045 / 187500 positions
  played 550 games, 14380 / 187500 positions
  played 600 games, 15709 / 187500 positions
  played 650 games, 17073 / 187500 positions
  played 700 games, 18328 / 187500 positions
  played 750 games, 19576 / 187500 positions
  played 800 games, 20907 / 187500 positions
  played 850 games, 22262 / 187500 positions
  played 900 games, 23597 / 187500 positions
  played 950 games, 24907 / 187500 positions
  played 1000 games, 26211 / 187500 positions
  played 1050 games, 27515 / 187500 positions
  played 1100 games, 28783 / 187500 positions
  played 1150 games, 30090 / 187500 positions
  played 1200 games, 31419 / 187500 positions
  played 1250 games, 32735 / 187500 positions
  played 1300 games, 34023 / 187500 positions
  played 1350 games, 35295 / 187500 positions
  played 1400 games, 36614 / 187500 positions
  played 1450 games, 37935 / 187500 positions
  played 1500 games, 39324 / 187500 positions
  played 1550 games, 40667 / 187500 positions
  played 1600 games, 42007 / 187500 positions
  played 1650 games, 43305 / 187500 positions
  played 1700 games, 44559 / 187500 positions
  played 1750 games, 45822 / 187500 positions
  played 1800 games, 47172 / 187500 positions
  played 1850 games, 48452 / 187500 positions
  played 1900 games, 49721 / 187500 positions
  played 1950 games, 50989 / 187500 positions
  played 2000 games, 52281 / 187500 positions
  played 2050 games, 53602 / 187500 positions
  played 2100 games, 54894 / 187500 positions
  played 2150 games, 56252 / 187500 positions
  played 2200 games, 57556 / 187500 positions
  played 2250 games, 58855 / 187500 positions
  played 2300 games, 60150 / 187500 positions
  played 2350 games, 61429 / 187500 positions
  played 2400 games, 62776 / 187500 positions
  played 2450 games, 64070 / 187500 positions
  played 2500 games, 65395 / 187500 positions
  played 2550 games, 66730 / 187500 positions
  played 2600 games, 67992 / 187500 positions
  played 2650 games, 69286 / 187500 positions
  played 2700 games, 70606 / 187500 positions
  played 2750 games, 71918 / 187500 positions
  played 2800 games, 73230 / 187500 positions
  played 2850 games, 74539 / 187500 positions
  played 2900 games, 75829 / 187500 positions
  played 2950 games, 77192 / 187500 positions
  played 3000 games, 78551 / 187500 positions
  played 3050 games, 79835 / 187500 positions
  played 3100 games, 81194 / 187500 positions
  played 3150 games, 82428 / 187500 positions
  played 3200 games, 83785 / 187500 positions
  played 3250 games, 85095 / 187500 positions
  played 3300 games, 86361 / 187500 positions
  played 3350 games, 87625 / 187500 positions
  played 3400 games, 88933 / 187500 positions
  played 3450 games, 90280 / 187500 positions
  played 3500 games, 91584 / 187500 positions
  played 3550 games, 92883 / 187500 positions
  played 3600 games, 94180 / 187500 positions
  played 3650 games, 95439 / 187500 positions
  played 3700 games, 96720 / 187500 positions
  played 3750 games, 97988 / 187500 positions
  played 3800 games, 99338 / 187500 positions
  played 3850 games, 100630 / 187500 positions
  played 3900 games, 101936 / 187500 positions
  played 3950 games, 103291 / 187500 positions
  played 4000 games, 104578 / 187500 positions
  played 4050 games, 105860 / 187500 positions
  played 4100 games, 107083 / 187500 positions
  played 4150 games, 108336 / 187500 positions
  played 4200 games, 109642 / 187500 positions
  played 4250 games, 110970 / 187500 positions
  played 4300 games, 112279 / 187500 positions
