B:W27;28;29;30;33;34;36;37;42:B3;9;13;16;17;18;19;25;26,17-22-,9-14-,15,17-22-,73,17-22-,67,17-22-,130
W:W27;28;31;32;33;34;36;38;39;41;45;46;48;49:B2;3;6;9;11;12;13;15;16;17;18;19;20;22,45-40-,34-29-,0,27-21-,130,27-21-,127,27-21-,145
W:W22;25;32;33;35;37;38;39;40;42;45;48:B3;6;8;11;13;14;17;18;19;23;24;26,33-28-,33-28-,59,33-28-,62,33-28-,58,33-28-,87
B:W23;32;33;34;35;36;38;39;40;41;42;43;45;47;48;49:B1;2;3;4;5;6;7;8;9;12;13;14;15;17;20;25,14-19-,25-30-,55,25-30-,54,25-30-,55,25-30-,53
W:W28;31;32;33;36;37;38;42;43;44;48:B3;7;9;12;14;17;18;19;21;23;24,31-27-,43-39-,0,43-39-,20,31-27-,-11,43-39-,12
W:W28;31;32;33;34;37;39:B7;14;17;19;21;23;24,31-27-,31-27-,33,31-27-,61,31-27-,31,31-27-,61
W:W24;28;29;31;34;37;39;41;45:B2;4;6;7;8;9;10;13;15;19;20;25;40,34-30-,34-30-,89,34-30-,87,34-30-,81,34-30-,95
W:W24;27;29;32;33;34;37;40;42;43;46;48;49:B2;4;7;8;9;10;13;15;16;18;20;23;26,43-38-,27-21-,124,27-21-,147,27-21-,122,27-21-,140
W:W25;42;47;48;49:B2;3;8;10;11;16;19;21;29;30;32,25-5-10.19.29.30,25-5-10.19.29.30,123,25-5-10.19.29.30,126,25-5-10.19.29.30,116,25-5-10.19.29.30,111
W:W28;29;33;34;35;36;37;38;39;40;44;45:B3;8;9;13;15;16;17;20;24;25;26;27,37-31-,37-31-,49,37-31-,51,37-31-,54,37-31-,49
W:W14;48:B6;12;13;15;16;24;34;43,48-17-12.13.24.34.43,48-17-12.13.24.34.43,158,48-17-12.13.24.34.43,29985,48-17-12.13.24.34.43,223,48-17-12.13.24.34.43,29985
B:W28;29;32;33;35;37;38;39;43;44;47;49:B2;8;10;12;13;14;17;18;22;25;26;36,2-7-,17-21-,41,17-21-,76,17-21-,45,17-21-,90
W:W27;28;30;32;35;36;37;38;39;42;43;45;47;48:B3;6;8;11;12;13;15;16;18;19;21;23;26;29,39-34-,39-34-,15,39-34-,13,39-34-,17,39-34-,12
W:W21;22;25;27;31;32;35;37;38;39;40;42;43;45;47;48:B3;6;7;8;9;11;12;13;14;15;16;19;20;23;24;29,22-17-,31-26-,13,22-17-,186,31-26-,13,22-17-,152
W:W26;32;36;39;40;45;48:B2;3;4;7;8;13;14;15;16;17;23;27;38;43,32-1-7.17.27,32-1-7.17.27,9,32-1-7.17.27,45,32-1-7.17.27,12,32-1-7.17.27,56
W:W15;26;31;33;34;36;37;38;39;41;43;44;45;46;48:B2;4;6;10;12;13;16;17;18;19;22;23;25;27;28,37-32-,34-29-,53,34-29-,37,34-29-,22,34-29-,28
W:W27;28;32;33;34;35;36;37;38;39;40;48;50:B3;9;10;12;13;16;18;19;21;23;24;25;26,48-43-,28-22-,1,27-22-,206,27-22-,108,27-22-,163
W:W29;30;36;38;39;40;41;46;48;49:B4;8;9;10;13;18;22;26;27;28,38-32-,30-24-,11,39-33-,88,39-33-,12,39-33-,48
W:W25;26;28;30;31;32;33;35;36;38;39;41;42;44;45;48;49:B4;6;7;8;9;10;11;12;13;14;15;17;19;21;22;24;27,41-37-,41-37-,-6,41-37-,22,41-37-,-4,41-37-,14
B:W25;27;28;32;33;34;35;36;37;38;39;42;43;44;45;48:B1;3;4;5;6;8;9;12;13;14;16;18;19;23;24;26,6-11-,14-20-,2,14-20-,1,16-21-,96,16-21-,76
W:W30;34;35;40;45;47;48;49;50:B1;2;4;5;6;9;10;12;13;15;16;19;25;29,34-3-9.19.29,34-3-9.19.29,35,34-3-9.19.29,36,34-3-9.19.29,43,34-3-9.19.29,40
W:W23;24;29;33;34;35;36;37;38;39;40;44:B4;8;9;10;11;12;13;15;18;20;21;27,38-32-,38-32-,-3,24-19-,70,24-19-,53,24-19-,73
W:W39;44;49:B3;11;12;13;14;22;25;29;33,39-10-12.13.14.22.33,39-10-12.13.14.22.33,54,39-10-12.13.14.22.33,73,39-10-12.13.14.22.33,77,39-10-12.13.14.22.33,69
B:W26;27;28;30;32;33;35;36;38;39;40;45:B2;8;12;13;14;15;16;18;19;21;23;24,2-7-,2-7-,49,2-7-,22,24-29-,29,24-29-,33
W:W25;26;31;34;35;36;38;41;43;46;49:B6;11;12;13;14;17;18;22;23;27;28,35-30-,34-30-,11,34-29-,244,34-29-,61,34-29-,230
W:W24;27;28;29;32;33;34;36;38;39;41;43;45;46;48:B2;3;6;8;10;11;12;13;15;16;17;18;20;25;26,28-23-,28-23-,0,28-23-,-3,28-23-,0,24-19-,79
B:W25;26;28;32;33;35;37;38;39;40;41;42;43;45;46;47;49;50:B2;3;4;5;6;9;10;11;12;14;16;17;18;19;21;22;23;24,2-8-,9-13-,15,24-30-,110,24-30-,145,24-30-,80
W:W25;28;29;31;32;33;34;38;39;42;43;48:B1;4;9;13;14;16;17;19;20;21;22;35,31-26-,29-23-,8,31-26-,15,31-26-,8,31-26-,32
B:W27;31;32;33;34;35;36;37;38;39;40;42;43;45;48:B3;7;8;9;10;12;13;15;16;17;18;20;22;24;25,17-21-,24-29-,9,24-29-,7,24-29-,12,24-29-,7
W:W23;24;26;28;29;31;33;34;38;39;40;41;48;49:B2;3;8;10;12;13;14;15;16;17;20;21;22;25,41-36-,41-36-,9,41-36-,32,41-36-,11,41-36-,44
W:W25;26;27;31;32;33;35;36;38;39;40;42;44;45;49:B2;3;4;6;8;12;13;14;15;16;17;19;23;24;29,32-28-,42-37-,11,32-28-,90,32-28-,31,32-28-,82
W:W26;29;30;34;36;37;38;39;40;45;47;49;50:B4;7;9;12;13;14;16;18;19;20;22;25;27,37-31-,37-31-,-3,47-42-,-2,37-31-,0,37-32-,1
W:W16;28;30;32;35;37;38;40;42;45;48:B6;7;8;9;12;13;15;19;23;24;25,28-22-,40-34-,-4,16-11-,120,16-11-,104,16-11-,125
W:W27;28;29;32;33;34;35;36;37;38;39;42;43;44;47;48;50:B2;3;6;8;9;10;12;13;14;16;18;19;20;21;24;25;26,35-30-,35-30-,96,35-30-,24,35-30-,74,28-23-,125
W:W25;28;30;31;32;33;35;36;38;39;40;42;43;44;45;46;47;48;49:B2;3;4;5;6;7;8;9;10;11;13;14;15;17;18;19;22;24;26,40-34-,39-34-,14,28-23-,44,28-23-,44,28-23-,43
W:W25;27;28;30;32;33;34;35;37;38;39;43:B3;8;12;13;14;15;16;18;19;21;23;24,34-29-,34-29-,11,34-29-,26,34-29-,11,34-29-,30
W:W27;28;30;32;33;35;37;38;39;46;47;48:B8;12;13;14;16;17;18;19;21;23;24;26,28-22-,30-25-,25,30-25-,30,39-34-,33,30-25-,25
W:W25;29;30;31;37;38;44;48;49;50:B9;12;13;14;15;18;20;22;27;36,30-24-,38-32-,74,44-39-,135,44-39-,101,44-39-,117
W:W23;24;32;33;34;38;39;40;41;44;47;48;49:B7;9;10;12;13;15;16;17;21;25;35;37,33-28-,33-28-,3,32-27-,135,32-27-,44,32-27-,67
W:W25;27;28;32;33;35;37;39;41;48:B7;8;9;13;16;19;21;24;26;29,37-31-,37-31-,56,37-31-,131,37-31-,106,37-31-,143
W:W21;31;33;34;36;37;38;39;40;42;44;46;47;48:B2;3;7;9;10;12;13;14;17;18;19;22;26;35,46-41-,34-30-,100,34-30-,69,34-30-,92,34-30-,89
W:W26;28;29;31;33;36;38;40;43;44;48;50:B4;7;9;11;12;13;14;17;18;19;22;27,29-24-,29-24-,177,29-24-,184,29-24-,165,29-24-,199
B:W31;32;33;34;36;38;39;40;42;43;44:B3;6;7;12;13;14;15;18;19;22;25,12-17-,12-17-,-8,6-11-,-7,12-17-,-4,12-17-,-5
W:W27;28;32;33;36;37;38;39;42;44;48:B3;7;12;13;14;17;18;19;23;24;26,37-31-,37-31-,12,37-31-,25,37-31-,12,37-31-,34
B:W25;27;28;32;33;34;35;37;38;40;41;42;43;45;48;49:B3;5;6;8;9;10;11;13;14;15;16;19;21;23;24;26,24-29-,24-29-,53,24-29-,42,24-29-,45,24-29-,49
W:W24;31;37;39;41;45:B2;4;6;7;8;9;10;13;15;19;20;32;40,37-28-32,37-28-32,89,37-28-32,91,37-28-32,81,37-28-32,95
W:W16;26;27;32;35;39;40;43;45;48;50:B7;9;12;13;15;18;19;20;22;23;29,43-38-,16-11-,118,16-11-,112,16-11-,74,16-11-,99
