baseline,B:W27;28;29;30;33;34;36;37;42:B3;9;13;16;17;18;19;25;26,17-22-,9-14-,15
baseline,W:W27;28;31;32;33;34;36;38;39;41;45;46;48;49:B2;3;6;9;11;12;13;15;16;17;18;19;20;22,45-40-,34-29-,0
baseline,W:W22;25;32;33;35;37;38;39;40;42;45;48:B3;6;8;11;13;14;17;18;19;23;24;26,33-28-,33-28-,59
baseline,B:W23;32;33;34;35;36;38;39;40;41;42;43;45;47;48;49:B1;2;3;4;5;6;7;8;9;12;13;14;15;17;20;25,14-19-,25-30-,55
baseline,W:W28;31;32;33;36;37;38;42;43;44;48:B3;7;9;12;14;17;18;19;21;23;24,31-27-,43-39-,0
baseline,W:W28;31;32;33;34;37;39:B7;14;17;19;21;23;24,31-27-,31-27-,33
baseline,W:W24;28;29;31;34;37;39;41;45:B2;4;6;7;8;9;10;13;15;19;20;25;40,34-30-,34-30-,89
baseline,W:W24;27;29;32;33;34;37;40;42;43;46;48;49:B2;4;7;8;9;10;13;15;16;18;20;23;26,43-38-,27-21-,124
baseline,W:W25;42;47;48;49:B2;3;8;10;11;16;19;21;29;30;32,25-5-10.19.29.30,25-5-10.19.29.30,123
baseline,W:W28;29;33;34;35;36;37;38;39;40;44;45:B3;8;9;13;15;16;17;20;24;25;26;27,37-31-,37-31-,49
baseline,W:W14;48:B6;12;13;15;16;24;34;43,48-17-12.13.24.34.43,48-17-12.13.24.34.43,158
baseline,B:W28;29;32;33;35;37;38;39;43;44;47;49:B2;8;10;12;13;14;17;18;22;25;26;36,2-7-,17-21-,41
baseline,W:W27;28;30;32;35;36;37;38;39;42;43;45;47;48:B3;6;8;11;12;13;15;16;18;19;21;23;26;29,39-34-,39-34-,15
baseline,W:W21;22;25;27;31;32;35;37;38;39;40;42;43;45;47;48:B3;6;7;8;9;11;12;13;14;15;16;19;20;23;24;29,22-17-,31-26-,13
baseline,W:W26;32;36;39;40;45;48:B2;3;4;7;8;13;14;15;16;17;23;27;38;43,32-1-7.17.27,32-1-7.17.27,9
baseline,W:W15;26;31;33;34;36;37;38;39;41;43;44;45;46;48:B2;4;6;10;12;13;16;17;18;19;22;23;25;27;28,37-32-,34-29-,53
baseline,W:W27;28;32;33;34;35;36;37;38;39;40;48;50:B3;9;10;12;13;16;18;19;21;23;24;25;26,48-43-,28-22-,1
baseline,W:W29;30;36;38;39;40;41;46;48;49:B4;8;9;10;13;18;22;26;27;28,38-32-,30-24-,11
baseline,W:W25;26;28;30;31;32;33;35;36;38;39;41;42;44;45;48;49:B4;6;7;8;9;10;11;12;13;14;15;17;19;21;22;24;27,41-37-,41-37-,-6
