idx,pieces,band,label_wdl,arb_score_raw,tb_verdict
0,5,0,-1,50,
1,8,0,0,150,
2,5,0,1,29985,
3,10,0,0,-56,
4,8,0,-1,-29996,
5,4,0,-1,-53,
6,7,0,-1,-29992,
7,6,0,-1,-29992,
8,10,0,1,29993,
9,12,0,-1,-303,
10,11,0,1,54,
11,8,0,0,1,
12,10,0,-1,-311,
13,3,0,0,-35,
14,10,0,1,29993,
15,7,0,0,8,
16,6,0,-1,2,
17,6,0,-1,-82,
18,5,0,0,0,
19,9,0,-1,-90,
20,4,0,1,53,
21,5,0,-1,66,
22,5,0,-1,188,
23,5,0,1,180,
24,5,0,-1,-29994,
25,4,0,0,105,
26,11,0,-1,102,
27,4,0,0,88,
28,4,0,-1,-86,
29,5,0,-1,-144,
30,7,0,-1,-29994,
31,11,0,1,311,
32,8,0,1,29991,
33,6,0,-1,-149,
34,7,0,1,103,
35,7,0,1,29991,
36,4,0,0,-102,
37,4,0,0,-92,
38,8,0,0,151,
39,12,0,-1,-399,
40,11,0,-1,-29988,
41,11,0,-1,-227,
42,11,0,-1,-141,
43,5,0,-1,-29990,
44,9,0,-1,-29992,
45,3,0,-1,-29998,
46,4,0,0,3,
47,9,0,-1,-219,
48,4,0,0,0,
49,10,0,1,137,
50,3,0,0,0,
51,4,0,1,29997,
52,5,0,0,-43,
53,12,0,1,122,
54,6,0,-1,-140,
55,7,0,1,113,
56,4,0,-1,-96,
57,10,0,0,72,
58,4,0,0,58,
59,6,0,-1,-29994,
60,10,0,-1,-29990,
61,4,0,0,-102,
62,5,0,0,80,
63,9,0,-1,-61,
64,8,0,1,195,
65,4,0,1,86,
66,8,0,-1,-250,
67,3,0,0,-16,
68,5,0,1,121,
69,10,0,0,120,
70,4,0,0,101,
71,5,0,0,-169,
72,10,0,1,247,
73,5,0,-1,-183,
74,6,0,-1,-185,
75,4,0,0,86,
76,4,0,1,-78,
77,3,0,0,7,
78,4,0,0,0,
79,11,0,-1,-558,
80,3,0,0,20,
81,9,0,1,29989,
82,7,0,-1,-29996,
83,5,0,1,29995,
84,8,0,-1,30,
85,10,0,0,-58,
86,5,0,-1,-29996,
87,6,0,1,29993,
88,4,0,1,86,
89,5,0,0,-46,
90,5,0,0,114,
91,3,0,0,-18,
92,6,0,0,-5,
93,9,0,-1,-29992,
94,4,0,-1,-80,
95,9,0,1,203,
96,12,0,0,-56,
97,4,0,0,0,
98,9,0,-1,-29996,
99,10,0,1,35,
100,12,0,1,29989,
101,11,0,-1,-86,
102,11,0,0,180,
103,8,0,1,-70,
104,4,0,0,-97,
105,9,0,1,-83,
106,3,0,0,-11,
107,12,0,-1,-117,
108,10,0,0,-4,
109,6,0,-1,-147,
110,4,0,-1,-67,
111,4,0,0,-82,
112,6,0,-1,-89,
113,4,0,0,-93,
114,12,0,0,-67,
115,7,0,-1,-16,
116,8,0,-1,-29990,
117,7,0,1,29987,
118,11,0,1,365,
119,11,0,1,29991,
120,5,0,-1,-29998,
121,10,0,-1,-344,
122,12,0,1,0,
123,3,0,0,10,
124,4,0,0,-58,
125,3,0,0,-28,
126,8,0,0,-14,
127,6,0,0,29981,
128,10,0,1,29997,
129,12,0,-1,-102,
130,4,0,1,24,
131,7,0,0,-41,
132,3,0,0,0,
133,12,0,1,394,
134,12,0,1,132,
135,7,0,1,-72,
136,12,0,-1,-29990,
137,5,0,-1,-112,
138,12,0,0,-201,
139,10,0,-1,-186,
140,12,0,-1,-210,
141,11,0,-1,-59,
142,7,0,-1,-29996,
143,8,0,1,148,
144,6,0,0,-152,
145,12,0,-1,-380,
146,4,0,0,0,
147,11,0,-1,-326,
148,7,0,1,29989,
149,11,0,-1,-254,
150,4,0,0,-68,
151,12,0,1,213,
152,8,0,-1,-29990,
153,12,0,1,479,
154,8,0,-1,-29994,
155,12,0,-1,-71,
156,5,0,0,-115,
157,5,0,-1,-174,
158,3,0,0,17,
159,11,0,1,76,
160,8,0,-1,-29998,
161,4,0,0,-74,
162,7,0,-1,-285,
163,4,0,0,-95,
164,8,0,0,-17,
165,7,0,-1,113,
166,4,0,-1,-57,
167,5,0,1,29989,
168,5,0,-1,-176,
169,4,0,1,88,
170,3,0,0,18,
171,4,0,0,84,
172,3,0,0,0,
173,4,0,0,-72,
174,3,0,1,46,
175,10,0,1,23,
176,9,0,0,-91,
177,4,0,0,0,
178,6,0,1,29993,
179,9,0,1,29987,
180,8,0,-1,-29992,
181,3,0,0,-18,
182,4,0,0,0,
183,10,0,-1,-29998,
184,4,0,0,-99,
185,10,0,-1,-29994,
186,8,0,0,103,
187,5,0,0,107,
188,11,0,-1,-29988,
189,3,0,0,0,
190,10,0,-1,-29990,
191,4,0,0,66,
192,11,0,-1,-457,
193,8,0,0,29,
194,7,0,-1,-126,
195,5,0,0,59,
196,4,0,1,95,
197,6,0,-1,-29998,
198,9,0,-1,-168,
199,12,0,0,-42,
200,11,0,1,29989,
201,4,0,0,65,
202,5,0,1,129,
203,10,0,-1,-272,
204,8,0,1,222,
205,4,0,1,77,
206,7,0,0,18,
207,4,0,1,0,
208,8,0,-1,-29998,
209,3,0,0,36,
210,6,0,1,141,
211,5,0,-1,-50,
212,7,0,1,29995,
213,3,0,0,-17,
214,11,0,1,379,
215,12,0,-1,-3,
216,9,0,1,276,
217,7,0,1,-44,
218,7,0,1,163,
219,5,0,1,44,
220,12,0,0,-73,
221,12,0,1,327,
222,9,0,-1,-97,
223,3,0,0,12,
224,5,0,-1,-149,
225,2,0,-1,-29998,
226,10,0,-1,-3,
227,8,0,-1,-29994,
228,12,0,0,-198,
229,6,0,1,29991,
230,9,0,-1,-29992,
231,4,0,0,102,
232,11,0,1,395,
233,5,0,1,29997,
234,10,0,1,383,
235,4,0,0,94,
236,9,0,-1,-193,
237,10,0,1,334,
238,6,0,-1,-29990,
239,8,0,0,60,
240,3,0,0,-45,
241,9,0,1,29991,
242,10,0,-1,-65,
243,7,0,0,134,
244,5,0,1,139,
245,4,0,0,77,
246,8,0,1,29989,
247,6,0,0,53,
248,10,0,1,29987,
249,9,0,0,133,
250,4,0,0,-106,
251,4,0,-1,-29996,
252,8,0,-1,-21,
253,4,0,0,-106,
254,11,0,-1,-397,
255,4,0,0,-95,
256,12,0,-1,-29998,
257,9,0,0,93,
258,4,0,0,-87,
259,12,0,-1,-449,
260,7,0,0,-175,
261,12,0,-1,-135,
262,8,0,-1,-61,
263,12,0,-1,5,
264,8,0,-1,-69,
265,10,0,-1,-14,
266,5,0,0,-35,
267,6,0,1,92,
268,4,0,0,-80,
269,7,0,-1,-29988,
270,4,0,0,36,
271,3,0,0,30,
272,10,0,-1,-29996,
273,8,0,0,-60,
274,9,0,-1,-29988,
275,10,0,-1,-236,
276,5,0,0,0,
277,9,0,1,29989,
278,4,0,1,29997,
279,4,0,0,42,
280,3,0,0,18,
281,12,0,-1,-237,
282,5,0,-1,-19,
283,12,0,-1,-27,
284,7,0,0,-77,
285,7,0,0,-18,
286,5,0,1,29997,
287,2,0,0,0,
288,10,0,0,-98,
289,9,0,1,225,
290,6,0,0,93,
291,5,0,-1,-29,
292,5,0,1,153,
293,10,0,1,230,
294,11,0,1,372,
295,6,0,-1,-29988,
296,11,0,1,246,
297,8,0,1,179,
298,4,0,0,87,
299,6,0,-1,-63,
300,6,0,0,-12,
301,3,0,0,9,
302,6,0,0,-88,
303,12,0,1,65,
304,9,0,-1,-29992,
305,4,0,0,-102,
306,4,0,0,0,
307,9,0,-1,-87,
308,5,0,-1,-95,
309,6,0,0,112,
310,4,0,1,77,
311,4,0,-1,-29990,
312,5,0,1,29993,
313,4,0,0,-49,
314,9,0,0,-122,
315,11,0,1,172,
316,11,0,-1,-280,
317,10,0,-1,-29990,
318,5,0,-1,-29992,
319,4,0,0,53,
320,5,0,0,-59,
321,6,0,1,203,
322,4,0,0,-87,
323,11,0,1,29993,
324,11,0,-1,-463,
325,8,0,1,29993,
326,4,0,0,96,
327,5,0,0,0,
328,11,0,1,29987,
329,9,0,1,110,
330,11,0,1,170,
331,12,0,1,134,
332,9,0,-1,-29990,
333,7,0,0,63,
334,5,0,0,-23,
335,3,0,0,-16,
336,9,0,-1,132,
337,6,0,-1,-44,
338,4,0,1,78,
339,8,0,-1,-40,
340,7,0,1,29997,
341,8,0,-1,-89,
342,8,0,-1,-29992,
343,5,0,1,146,
344,5,0,-1,-152,
345,6,0,0,-75,
346,8,0,1,29991,
347,9,0,1,29995,
348,7,0,1,-30,
349,6,0,-1,-29998,
350,8,0,0,-64,
351,3,0,0,0,
352,3,0,0,-16,
353,10,0,-1,-29998,
354,7,0,0,0,
355,8,0,-1,-29998,
356,11,0,0,-37,
357,3,0,0,-22,
358,11,0,1,151,
359,9,0,-1,-104,
360,11,0,0,78,
361,7,0,0,-84,
362,10,0,0,-5,
363,4,0,-1,-29998,
364,12,0,1,119,
365,8,0,-1,-83,
366,6,0,0,33,
367,5,0,1,196,
368,6,0,0,-87,
369,12,0,-1,-29988,
370,6,0,-1,-29998,
371,6,0,-1,-29998,
372,3,0,0,0,
373,4,0,0,115,
374,7,0,0,-54,
375,7,0,1,239,
376,7,0,-1,-29994,
377,4,0,-1,-67,
378,9,0,-1,-29996,
379,5,0,1,69,
380,9,0,-1,-200,
381,12,0,-1,-412,
382,11,0,0,-28,
383,12,0,0,129,
384,9,0,-1,-159,
385,9,0,1,29989,
386,5,0,-1,-104,
387,7,0,-1,-29990,
388,9,0,0,58,
389,3,0,0,-30,
390,4,0,0,65,
391,9,0,-1,-102,
392,8,0,-1,-29998,
393,4,0,1,78,
394,12,0,0,0,
395,11,0,1,224,
396,11,0,1,29993,
397,5,0,-1,-150,
398,4,0,1,76,
399,4,0,0,-113,
400,14,1,1,240,
401,20,1,-1,114,
402,15,1,-1,-47,
403,20,1,-1,144,
404,20,1,1,112,
405,18,1,-1,-39,
406,16,1,-1,-123,
407,16,1,-1,-264,
408,18,1,1,7,
409,17,1,1,264,
410,16,1,1,17,
411,19,1,1,159,
412,16,1,1,163,
413,14,1,0,-4,
414,20,1,1,122,
415,14,1,0,-23,
416,13,1,1,56,
417,17,1,1,265,
418,16,1,-1,-6,
419,16,1,-1,-130,
420,16,1,-1,-23,
421,18,1,0,120,
422,13,1,1,70,
423,19,1,1,154,
424,15,1,-1,-122,
425,13,1,-1,-58,
426,20,1,-1,95,
427,14,1,1,262,
428,18,1,0,-14,
429,20,1,-1,5,
430,20,1,1,204,
431,14,1,1,270,
432,16,1,-1,-1,
433,16,1,-1,-102,
434,18,1,1,14,
435,17,1,0,0,
436,14,1,-1,-130,
437,16,1,-1,-117,
438,18,1,0,8,
439,19,1,1,36,
440,17,1,1,56,
441,19,1,-1,-52,
442,19,1,-1,-47,
443,17,1,-1,-375,
444,15,1,1,89,
445,17,1,-1,-71,
446,16,1,1,4,
447,17,1,1,337,
448,14,1,-1,-53,
449,16,1,-1,168,
450,13,1,-1,-57,
451,16,1,1,125,
452,18,1,-1,-105,
453,17,1,1,98,
454,14,1,-1,-1,
455,18,1,1,227,
456,15,1,1,188,
457,14,1,-1,-283,
458,15,1,-1,-62,
459,18,1,1,8,
460,15,1,-1,61,
461,16,1,-1,-309,
462,14,1,1,133,
463,20,1,-1,-5,
464,20,1,1,189,
465,20,1,1,99,
466,15,1,-1,-71,
467,14,1,-1,-118,
468,19,1,1,51,
469,16,1,-1,-104,
470,18,1,1,221,
471,18,1,1,277,
472,17,1,-1,-171,
473,17,1,-1,-66,
474,17,1,1,173,
475,15,1,-1,-374,
476,20,1,1,-98,
477,20,1,0,107,
478,19,1,1,-79,
479,20,1,0,4,
480,14,1,1,3,
481,17,1,-1,-66,
482,18,1,1,547,
483,16,1,-1,-147,
484,14,1,-1,-390,
485,17,1,1,98,
486,17,1,0,59,
487,17,1,1,52,
488,18,1,1,252,
489,15,1,1,95,
490,19,1,1,166,
491,13,1,-1,-143,
492,16,1,1,142,
493,18,1,0,0,
494,17,1,0,78,
495,15,1,0,-56,
496,17,1,-1,113,
497,14,1,1,29987,
498,16,1,-1,-251,
499,16,1,-1,-426,
500,15,1,-1,-37,
501,20,1,1,104,
502,15,1,1,91,
503,14,1,-1,-75,
504,13,1,-1,-29994,
505,20,1,1,115,
506,18,1,-1,-187,
507,15,1,-1,-65,
508,16,1,-1,0,
509,14,1,0,-122,
510,14,1,0,-125,
511,17,1,-1,-59,
512,13,1,1,29993,
513,15,1,0,-123,
514,15,1,1,320,
515,15,1,1,-56,
516,15,1,-1,-49,
517,15,1,0,60,
518,16,1,0,-6,
519,19,1,1,153,
520,17,1,1,53,
521,14,1,-1,-213,
522,16,1,1,309,
523,16,1,1,121,
524,13,1,-1,-79,
525,19,1,1,42,
526,18,1,-1,-106,
527,16,1,1,124,
528,16,1,1,358,
529,16,1,0,-15,
530,17,1,1,161,
531,15,1,1,173,
532,15,1,1,476,
533,14,1,-1,-195,
534,19,1,1,455,
535,13,1,1,336,
536,15,1,1,180,
537,15,1,0,83,
538,14,1,-1,10,
539,14,1,1,182,
540,13,1,1,73,
541,17,1,1,169,
542,17,1,0,55,
543,19,1,0,65,
544,13,1,-1,-72,
545,15,1,1,473,
546,19,1,0,215,
547,13,1,0,-64,
548,19,1,0,-92,
549,16,1,-1,-234,
550,17,1,-1,-48,
551,19,1,-1,-168,
552,13,1,-1,59,
553,17,1,-1,55,
554,15,1,-1,-189,
555,16,1,1,204,
556,16,1,0,-2,
557,15,1,-1,-164,
558,17,1,1,-33,
559,17,1,1,347,
560,16,1,0,4,
561,19,1,1,-146,
562,20,1,-1,-129,
563,13,1,-1,-29990,
564,17,1,-1,-186,
565,17,1,1,432,
566,14,1,-1,-139,
567,14,1,-1,-120,
568,19,1,1,45,
569,14,1,-1,-28,
570,14,1,-1,-277,
571,13,1,-1,-19,
572,14,1,-1,-393,
573,16,1,0,-99,
574,17,1,1,165,
575,17,1,0,68,
576,20,1,1,225,
577,16,1,1,14,
578,18,1,1,343,
579,18,1,1,232,
580,14,1,-1,13,
581,16,1,1,412,
582,16,1,1,161,
583,13,1,1,274,
584,13,1,1,66,
585,14,1,-1,-475,
586,18,1,-1,3,
587,14,1,-1,-495,
588,20,1,1,16,
589,18,1,0,-12,
590,20,1,0,-107,
591,19,1,1,174,
592,17,1,1,85,
593,17,1,1,115,
594,20,1,1,-16,
595,13,1,1,237,
596,18,1,-1,-109,
597,15,1,-1,-438,
598,17,1,0,45,
599,20,1,1,264,
600,14,1,0,139,
601,20,1,-1,-104,
602,17,1,-1,-64,
603,18,1,-1,-113,
604,17,1,-1,-163,
605,17,1,-1,-212,
606,17,1,0,-50,
607,17,1,1,60,
608,19,1,1,172,
609,18,1,0,7,
610,18,1,-1,-119,
611,16,1,-1,-123,
612,13,1,0,51,
613,17,1,1,-12,
614,13,1,-1,-50,
615,16,1,1,127,
616,16,1,1,138,
617,20,1,1,-10,
618,20,1,1,10,
619,19,1,1,69,
620,14,1,-1,-302,
621,17,1,0,-96,
622,20,1,-1,-6,
623,18,1,0,-7,
624,16,1,1,7,
625,14,1,-1,-421,
626,18,1,-1,-112,
627,13,1,1,304,
628,15,1,1,284,
629,19,1,1,54,
630,17,1,1,183,
631,14,1,-1,-126,
632,16,1,-1,-294,
633,17,1,-1,-60,
634,19,1,1,52,
635,16,1,-1,-112,
636,16,1,1,17,
637,14,1,-1,-392,
638,19,1,1,166,
639,20,1,-1,-29984,
640,13,1,0,-188,
641,20,1,-1,-101,
642,18,1,-1,-113,
643,16,1,-1,-1,
644,16,1,-1,-261,
645,18,1,-1,-1,
646,17,1,1,63,
