gen-data-wdl: n=62500 out=/root/jass/jobs/results/cpx62-0211-cumulative-loop-1M/artefacts.src/sp1-13.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=26786 nnue=/root/jass/jobs/results/cpx62-0211-cumulative-loop-1M/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1580 / 62500 positions
  played 100 games, 2965 / 62500 positions
  played 150 games, 4498 / 62500 positions
  played 200 games, 6033 / 62500 positions
  played 250 games, 7604 / 62500 positions
  played 300 games, 9235 / 62500 positions
  played 350 games, 10761 / 62500 positions
  played 400 games, 12408 / 62500 positions
  played 450 games, 13913 / 62500 positions
  played 500 games, 15338 / 62500 positions
  played 550 games, 16932 / 62500 positions
  played 600 games, 18525 / 62500 positions
  played 650 games, 19970 / 62500 positions
  played 700 games, 21517 / 62500 positions
  played 750 games, 23158 / 62500 positions
  played 800 games, 24728 / 62500 positions
  played 850 games, 26237 / 62500 positions
  played 900 games, 27724 / 62500 positions
  played 950 games, 29303 / 62500 positions
  played 1000 games, 30848 / 62500 positions
  played 1050 games, 32418 / 62500 positions
  played 1100 games, 34059 / 62500 positions
  played 1150 games, 35624 / 62500 positions
  played 1200 games, 37093 / 62500 positions
  played 1250 games, 38815 / 62500 positions
  played 1300 games, 40417 / 62500 positions
  played 1350 games, 42025 / 62500 positions
  played 1400 games, 43688 / 62500 positions
  played 1450 games, 45386 / 62500 positions
  played 1500 games, 46926 / 62500 positions
  played 1550 games, 48483 / 62500 positions
  played 1600 games, 50030 / 62500 positions
  played 1650 games, 51473 / 62500 positions
  played 1700 games, 53020 / 62500 positions
  played 1750 games, 54673 / 62500 positions
  played 1800 games, 56269 / 62500 positions
  played 1850 games, 57848 / 62500 positions
  played 1900 games, 59421 / 62500 positions
  played 1950 games, 61005 / 62500 positions
wrote 62500 WDL records to /root/jass/jobs/results/cpx62-0211-cumulative-loop-1M/artefacts.src/sp1-13.jnnw
