gen-data-wdl: n=125000 out=/root/jass/jobs/results/cpx62-0213-genpar-seed-train/artefacts.src/cpx-14.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=2800071 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1602 / 125000 positions
  played 100 games, 3246 / 125000 positions
  played 150 games, 4932 / 125000 positions
  played 200 games, 6499 / 125000 positions
  played 250 games, 8104 / 125000 positions
  played 300 games, 9663 / 125000 positions
  played 350 games, 11200 / 125000 positions
  played 400 games, 12739 / 125000 positions
  played 450 games, 14422 / 125000 positions
  played 500 games, 15979 / 125000 positions
  played 550 games, 17485 / 125000 positions
  played 600 games, 19006 / 125000 positions
  played 650 games, 20543 / 125000 positions
  played 700 games, 22178 / 125000 positions
  played 750 games, 23812 / 125000 positions
  played 800 games, 25393 / 125000 positions
  played 850 games, 26979 / 125000 positions
  played 900 games, 28481 / 125000 positions
  played 950 games, 30023 / 125000 positions
  played 1000 games, 31579 / 125000 positions
  played 1050 games, 33045 / 125000 positions
  played 1100 games, 34516 / 125000 positions
  played 1150 games, 36139 / 125000 positions
  played 1200 games, 37611 / 125000 positions
  played 1250 games, 39212 / 125000 positions
  played 1300 games, 40746 / 125000 positions
  played 1350 games, 42358 / 125000 positions
  played 1400 games, 43932 / 125000 positions
  played 1450 games, 45554 / 125000 positions
  played 1500 games, 47281 / 125000 positions
  played 1550 games, 48862 / 125000 positions
  played 1600 games, 50457 / 125000 positions
  played 1650 games, 52001 / 125000 positions
  played 1700 games, 53612 / 125000 positions
  played 1750 games, 55215 / 125000 positions
  played 1800 games, 56912 / 125000 positions
  played 1850 games, 58387 / 125000 positions
  played 1900 games, 59904 / 125000 positions
  played 1950 games, 61545 / 125000 positions
  played 2000 games, 63102 / 125000 positions
  played 2050 games, 64721 / 125000 positions
  played 2100 games, 66266 / 125000 positions
  played 2150 games, 67926 / 125000 positions
  played 2200 games, 69580 / 125000 positions
  played 2250 games, 71228 / 125000 positions
  played 2300 games, 72919 / 125000 positions
  played 2350 games, 74492 / 125000 positions
  played 2400 games, 76137 / 125000 positions
  played 2450 games, 77702 / 125000 positions
  played 2500 games, 79220 / 125000 positions
  played 2550 games, 80875 / 125000 positions
  played 2600 games, 82370 / 125000 positions
  played 2650 games, 83876 / 125000 positions
  played 2700 games, 85436 / 125000 positions
  played 2750 games, 87049 / 125000 positions
  played 2800 games, 88686 / 125000 positions
  played 2850 games, 90292 / 125000 positions
  played 2900 games, 91906 / 125000 positions
  played 2950 games, 93465 / 125000 positions
  played 3000 games, 95077 / 125000 positions
  played 3050 games, 96604 / 125000 positions
  played 3100 games, 98199 / 125000 positions
  played 3150 games, 99644 / 125000 positions
  played 3200 games, 101257 / 125000 positions
  played 3250 games, 102789 / 125000 positions
  played 3300 games, 104345 / 125000 positions
  played 3350 games, 106024 / 125000 positions
  played 3400 games, 107630 / 125000 positions
  played 3450 games, 109208 / 125000 positions
  played 3500 games, 110696 / 125000 positions
  played 3550 games, 112417 / 125000 positions
  played 3600 games, 114093 / 125000 positions
  played 3650 games, 115653 / 125000 positions
  played 3700 games, 117148 / 125000 positions
  played 3750 games, 118748 / 125000 positions
  played 3800 games, 120317 / 125000 positions
  played 3850 games, 121817 / 125000 positions
  played 3900 games, 123625 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/cpx62-0213-genpar-seed-train/artefacts.src/cpx-14.jnnw
