gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp5-11.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=6524 nnue=/root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1597 / 18750 positions
  played 100 games, 3153 / 18750 positions
  played 150 games, 4701 / 18750 positions
  played 200 games, 6356 / 18750 positions
  played 250 games, 7964 / 18750 positions
  played 300 games, 9613 / 18750 positions
  played 350 games, 11113 / 18750 positions
  played 400 games, 12795 / 18750 positions
  played 450 games, 14419 / 18750 positions
  played 500 games, 15951 / 18750 positions
  played 550 games, 17557 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0221-colorfold-loop/artefacts.src/sp5-11.jnnw
