gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp4-9.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=27509 nnue=/root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1569 / 18750 positions
  played 100 games, 3192 / 18750 positions
  played 150 games, 4860 / 18750 positions
  played 200 games, 6445 / 18750 positions
  played 250 games, 8010 / 18750 positions
  played 300 games, 9591 / 18750 positions
  played 350 games, 11247 / 18750 positions
  played 400 games, 12765 / 18750 positions
  played 450 games, 14324 / 18750 positions
  played 500 games, 15886 / 18750 positions
  played 550 games, 17474 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0222-rotfold-loop/artefacts.src/sp4-9.jnnw
