gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp4-2.jnnw eval_depth=8 play_depth=8 max_plies=200 seed=4421 nnue=/root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/gen3.pjtw quiet_only=false pv_extract=0 movetime_ms=30
  played 50 games, 1765 / 18750 positions
  played 100 games, 3584 / 18750 positions
  played 150 games, 5266 / 18750 positions
  played 200 games, 6854 / 18750 positions
  played 250 games, 8749 / 18750 positions
  played 300 games, 10461 / 18750 positions
  played 350 games, 12218 / 18750 positions
  played 400 games, 13951 / 18750 positions
  played 450 games, 15608 / 18750 positions
  played 500 games, 17415 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0228-fullfold-mt30/artefacts.src/sp4-2.jnnw
