gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp1-14.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=8927 nnue=/root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/g0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1662 / 18750 positions
  played 100 games, 3180 / 18750 positions
  played 150 games, 4703 / 18750 positions
  played 200 games, 6208 / 18750 positions
  played 250 games, 7707 / 18750 positions
  played 300 games, 9166 / 18750 positions
  played 350 games, 10801 / 18750 positions
  played 400 games, 12416 / 18750 positions
  played 450 games, 13936 / 18750 positions
  played 500 games, 15442 / 18750 positions
  played 550 games, 16973 / 18750 positions
  played 600 games, 18690 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0230-pattern-importance/artefacts.src/sp1-14.jnnw
