gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0232-rfe-prune24/artefacts.src/sp1-16.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=8099 nnue=/root/jass/jobs/results/cpx62-0232-rfe-prune24/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1680 / 18750 positions
  played 100 games, 3136 / 18750 positions
  played 150 games, 4606 / 18750 positions
  played 200 games, 6152 / 18750 positions
  played 250 games, 7685 / 18750 positions
  played 300 games, 9168 / 18750 positions
  played 350 games, 10733 / 18750 positions
  played 400 games, 12301 / 18750 positions
  played 450 games, 13809 / 18750 positions
  played 500 games, 15512 / 18750 positions
  played 550 games, 17020 / 18750 positions
  played 600 games, 18590 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0232-rfe-prune24/artefacts.src/sp1-16.jnnw
