gen-data-wdl: n=37500 out=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp2-16.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=17270 nnue=/root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1491 / 37500 positions
  played 100 games, 3140 / 37500 positions
  played 150 games, 4725 / 37500 positions
  played 200 games, 6365 / 37500 positions
  played 250 games, 8003 / 37500 positions
  played 300 games, 9597 / 37500 positions
  played 350 games, 11210 / 37500 positions
  played 400 games, 12748 / 37500 positions
  played 450 games, 14194 / 37500 positions
  played 500 games, 15751 / 37500 positions
  played 550 games, 17334 / 37500 positions
  played 600 games, 18872 / 37500 positions
  played 650 games, 20569 / 37500 positions
  played 700 games, 22027 / 37500 positions
  played 750 games, 23658 / 37500 positions
  played 800 games, 25179 / 37500 positions
  played 850 games, 26762 / 37500 positions
  played 900 games, 28338 / 37500 positions
  played 950 games, 29851 / 37500 positions
  played 1000 games, 31359 / 37500 positions
  played 1050 games, 32863 / 37500 positions
  played 1100 games, 34423 / 37500 positions
  played 1150 games, 36182 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/cpx62-0241-kingloop-scaled/artefacts.src/sp2-16.jnnw
