gen-data-wdl: n=125000 out=/root/jass/jobs/results/cpx62-0242-bucket-coverage/artefacts.src/sp-7.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=26533 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1572 / 125000 positions
  played 100 games, 3117 / 125000 positions
  played 150 games, 4701 / 125000 positions
  played 200 games, 6266 / 125000 positions
  played 250 games, 7918 / 125000 positions
  played 300 games, 9519 / 125000 positions
  played 350 games, 11055 / 125000 positions
  played 400 games, 12575 / 125000 positions
  played 450 games, 14123 / 125000 positions
  played 500 games, 15752 / 125000 positions
  played 550 games, 17226 / 125000 positions
  played 600 games, 18775 / 125000 positions
  played 650 games, 20315 / 125000 positions
  played 700 games, 21917 / 125000 positions
  played 750 games, 23502 / 125000 positions
  played 800 games, 25084 / 125000 positions
  played 850 games, 26658 / 125000 positions
  played 900 games, 28317 / 125000 positions
  played 950 games, 29942 / 125000 positions
  played 1000 games, 31406 / 125000 positions
  played 1050 games, 33062 / 125000 positions
  played 1100 games, 34655 / 125000 positions
  played 1150 games, 36198 / 125000 positions
  played 1200 games, 37868 / 125000 positions
  played 1250 games, 39517 / 125000 positions
  played 1300 games, 41081 / 125000 positions
  played 1350 games, 42700 / 125000 positions
  played 1400 games, 44240 / 125000 positions
  played 1450 games, 45713 / 125000 positions
  played 1500 games, 47335 / 125000 positions
  played 1550 games, 48803 / 125000 positions
  played 1600 games, 50373 / 125000 positions
  played 1650 games, 51956 / 125000 positions
  played 1700 games, 53509 / 125000 positions
  played 1750 games, 54997 / 125000 positions
  played 1800 games, 56707 / 125000 positions
  played 1850 games, 58214 / 125000 positions
  played 1900 games, 59794 / 125000 positions
  played 1950 games, 61329 / 125000 positions
  played 2000 games, 62822 / 125000 positions
  played 2050 games, 64374 / 125000 positions
  played 2100 games, 66069 / 125000 positions
  played 2150 games, 67722 / 125000 positions
  played 2200 games, 69270 / 125000 positions
  played 2250 games, 70895 / 125000 positions
  played 2300 games, 72397 / 125000 positions
  played 2350 games, 74052 / 125000 positions
  played 2400 games, 75618 / 125000 positions
  played 2450 games, 77192 / 125000 positions
  played 2500 games, 78748 / 125000 positions
  played 2550 games, 80402 / 125000 positions
  played 2600 games, 82036 / 125000 positions
  played 2650 games, 83558 / 125000 positions
  played 2700 games, 85160 / 125000 positions
  played 2750 games, 86663 / 125000 positions
  played 2800 games, 88310 / 125000 positions
  played 2850 games, 89879 / 125000 positions
  played 2900 games, 91465 / 125000 positions
  played 2950 games, 93107 / 125000 positions
  played 3000 games, 94794 / 125000 positions
  played 3050 games, 96383 / 125000 positions
  played 3100 games, 97917 / 125000 positions
  played 3150 games, 99457 / 125000 positions
  played 3200 games, 101045 / 125000 positions
  played 3250 games, 102784 / 125000 positions
  played 3300 games, 104243 / 125000 positions
  played 3350 games, 105827 / 125000 positions
  played 3400 games, 107373 / 125000 positions
  played 3450 games, 108914 / 125000 positions
  played 3500 games, 110454 / 125000 positions
  played 3550 games, 112088 / 125000 positions
  played 3600 games, 113605 / 125000 positions
  played 3650 games, 115190 / 125000 positions
  played 3700 games, 116685 / 125000 positions
  played 3750 games, 118253 / 125000 positions
  played 3800 games, 119782 / 125000 positions
  played 3850 games, 121440 / 125000 positions
  played 3900 games, 123098 / 125000 positions
  played 3950 games, 124631 / 125000 positions
wrote 125000 WDL records to /root/jass/jobs/results/cpx62-0242-bucket-coverage/artefacts.src/sp-7.jnnw
