gen-data-wdl: n=25000 out=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp0-16.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=13867 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1589 / 25000 positions
  played 100 games, 3061 / 25000 positions
  played 150 games, 4552 / 25000 positions
  played 200 games, 6078 / 25000 positions
  played 250 games, 7591 / 25000 positions
  played 300 games, 9274 / 25000 positions
  played 350 games, 10899 / 25000 positions
  played 400 games, 12522 / 25000 positions
  played 450 games, 14158 / 25000 positions
  played 500 games, 15796 / 25000 positions
  played 550 games, 17349 / 25000 positions
  played 600 games, 18877 / 25000 positions
  played 650 games, 20431 / 25000 positions
  played 700 games, 21986 / 25000 positions
  played 750 games, 23621 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp0-16.jnnw
