gen-data-wdl: n=93750 out=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp5-8.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=25140 nnue=/root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1659 / 93750 positions
  played 100 games, 3177 / 93750 positions
  played 150 games, 4716 / 93750 positions
  played 200 games, 6292 / 93750 positions
  played 250 games, 7732 / 93750 positions
  played 300 games, 9402 / 93750 positions
  played 350 games, 11007 / 93750 positions
  played 400 games, 12504 / 93750 positions
  played 450 games, 14163 / 93750 positions
  played 500 games, 15649 / 93750 positions
  played 550 games, 17146 / 93750 positions
  played 600 games, 18743 / 93750 positions
  played 650 games, 20438 / 93750 positions
  played 700 games, 21963 / 93750 positions
  played 750 games, 23456 / 93750 positions
  played 800 games, 24987 / 93750 positions
  played 850 games, 26462 / 93750 positions
  played 900 games, 28008 / 93750 positions
  played 950 games, 29660 / 93750 positions
  played 1000 games, 31236 / 93750 positions
  played 1050 games, 32773 / 93750 positions
  played 1100 games, 34229 / 93750 positions
  played 1150 games, 35914 / 93750 positions
  played 1200 games, 37292 / 93750 positions
  played 1250 games, 38830 / 93750 positions
  played 1300 games, 40332 / 93750 positions
  played 1350 games, 41823 / 93750 positions
  played 1400 games, 43295 / 93750 positions
  played 1450 games, 44936 / 93750 positions
  played 1500 games, 46500 / 93750 positions
  played 1550 games, 48071 / 93750 positions
  played 1600 games, 49758 / 93750 positions
  played 1650 games, 51346 / 93750 positions
  played 1700 games, 52884 / 93750 positions
  played 1750 games, 54407 / 93750 positions
  played 1800 games, 55935 / 93750 positions
  played 1850 games, 57532 / 93750 positions
  played 1900 games, 59144 / 93750 positions
  played 1950 games, 60619 / 93750 positions
  played 2000 games, 62141 / 93750 positions
  played 2050 games, 63787 / 93750 positions
  played 2100 games, 65420 / 93750 positions
  played 2150 games, 66986 / 93750 positions
  played 2200 games, 68461 / 93750 positions
  played 2250 games, 69963 / 93750 positions
  played 2300 games, 71518 / 93750 positions
  played 2350 games, 72983 / 93750 positions
  played 2400 games, 74597 / 93750 positions
  played 2450 games, 76144 / 93750 positions
  played 2500 games, 77712 / 93750 positions
  played 2550 games, 79234 / 93750 positions
  played 2600 games, 80854 / 93750 positions
  played 2650 games, 82476 / 93750 positions
  played 2700 games, 84023 / 93750 positions
  played 2750 games, 85557 / 93750 positions
  played 2800 games, 87137 / 93750 positions
  played 2850 games, 88743 / 93750 positions
  played 2900 games, 90297 / 93750 positions
  played 2950 games, 91931 / 93750 positions
  played 3000 games, 93461 / 93750 positions
wrote 93750 WDL records to /root/jass/jobs/results/cpx62-0244-kingloop-bigvol/artefacts.src/sp5-8.jnnw
